Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, б-р. Украинский, д. 11;1;;4к8687,66к6720
г. Москва, б-р. Украинский, д. 13;1;;52/13к6213
г. Москва, б-р. Украинский, д. 3;1;;35к4986
г. Москва, б-р. Украинский, д. 5;1;;42/42*5484,1)35 2)35*6943
г. Москва, б-р. Украинский, д. 7;1;;30/687629,49/491618,687629,49в\491618,44/483519,49/491618,54\542207,709,22в,22в/687629,2в/02к0838
г. Москва, б-р. Украинский, д. 8, к. 2;1;;16/238,15/450,50#4217/,15/238
г. Москва, б-р. Украинский, д. 8, к. 2;2;;35#8895,50#4217/32,35р8895
г. Москва, наб. Бережковская, д. 10;1;;507,в1в5728
г. Москва, наб. Бережковская, д. 10;2;;1234
г. Москва, наб. Бережковская, д. 10;3;;в47в3288,в 44 в 1473,в39в0173,в 39 в 0173,в44в1473,в37в4717,в34в1411
г. Москва, наб. Бережковская, д. 12;1;;16к8676,22к 2231,28к0005,28к0005
г. Москва, наб. Бережковская, д. 12;2;;60к4440,16к0508,60к4440
г. Москва, наб. Бережковская, д. 12;3;;74к0675,62к2497
г. Москва, наб. Бережковская, д. 12;4;;97р6655
г. Москва, наб. Бережковская, д. 12;5;;130#413,*124#.658
г. Москва, наб. Бережковская, д. 12;9;;216р9182
г. Москва, наб. Бережковская, д. 12;11;;257к8036,262к0122,262к0122
г. Москва, наб. Бережковская, д. 12;13;;96,92
г. Москва, наб. Бережковская, д. 12;14;;305к4767,305к4767
г. Москва, наб. Бережковская, д. 4;2;;926 / 042 в,926,926/42 в,926/042в
г. Москва, наб. Бережковская, д. 4;3;;77в,125,125/77в,125/81в,125/77 в,812/129,125/77
г. Москва, наб. Бережковская, д. 4;4;;831,812/107в,812/119,812/107,812 , 110в,812/107
г. Москва, наб. Бережковская, д. 4;5;;250 ,139,250\133,250/153,250,250/163в,250/163 в
г. Москва, наб. Бережковская, д. 4;6;;941/173,941/167,941/167
г. Москва, наб. Бережковская, д. 8;1;;*4230,*#4230,3р354,*р4230,25#013
г. Москва, наб. Бережковская, д. 8;3;;200#239,82#936,71#887,80336,93698,80#336,93р698
г. Москва, наб. Бережковская, д. 8;4;;128р116,99р252,97р010,114080,99#252,99#252,104#8795,124р959
г. Москва, наб. Тараса Шевченко, д. 3;1;;2к5624
г. Москва, наб. Тараса Шевченко, д. 3;5;;109к6171
г. Москва, наб. Тараса Шевченко, д. 3;6;;152к0902
г. Москва, наб. Тараса Шевченко, д. 3;7;;169к1623
г. Москва, наб. Тараса Шевченко, д. 3, к. 2;1;;196,159,151
г. Москва, наб. Тараса Шевченко, д. 3, к. 2;2;;218в,243,219,223
г. Москва, наб. Тараса Шевченко, д. 3, к. 2;4;;295,217,334
г. Москва, наб. Тараса Шевченко, д. 5;1;;4р9144
г. Москва, пер. Дохтуровский, д. 2;1;;11#459,11р459
г. Москва, пер. Дохтуровский, д. 2;2;;21#319,21р319,28 #.372,34#598
г. Москва, пер. Дохтуровский, д. 2;3;;43#164,48р372
г. Москва, пер. Дохтуровский, д. 2;4;;64#386,68#612,р0507,69 #719
г. Москва, пер. Кутузовский, д. 3;1;;3#899,1470,10р538
г. Москва, пер. Кутузовский, д. 3;2;;в24в6560
г. Москва, пер. Можайский, д. 3;1;;6#195
г. Москва, пер. Можайский, д. 3;2;;19#514
г. Москва, пер. Можайский, д. 3;3;;23р780,23р,31#552
г. Москва, пер. Можайский, д. 3;4;;36р185
г. Москва, пер. Можайский, д. 5;2;;10#570
г. Москва, пер. Можайский, д. 5;3;;2#954,4#196,2р954
г. Москва, пл. Победы, д. 1, к. А;1;;р7533
г. Москва, пл. Победы, д. 1, к. А;4;;159к8151
г. Москва, пл. Победы, д. 1, к. А;5;;205#1940
г. Москва, пл. Победы, д. 1, к. Б;1;;93к2210
г. Москва, пл. Победы, д. 1, к. Б;2;;102к8848
г. Москва, пл. Победы, д. 1, к. Б;3;;141к5598
г. Москва, пл. Победы, д. 1, к. Б;4;;233к5777
г. Москва, пл. Победы, д. 1, к. Б;5;;258к7605,258к7605,274к6494,76к05,310к6223
г. Москва, пл. Победы, д. 1, к. Б;6;;328в
г. Москва, пл. Победы, д. 1, к. Е;1;;18,25в8562
г. Москва, пл. Победы, д. 1, к. Е;2;;52в,52в ,51в
г. Москва, пл. Победы, д. 1, к. Е;3;;71,9
г. Москва, пл. Победы, д. 1, к. Е;4;;98к3982
г. Москва, пл. Победы, д. 2, к. 1;1;;13 в
г. Москва, пл. Победы, д. 2, к. 1;3;;84к860,91 в
г. Москва, пл. Победы, д. 2, к. 1;4;;150р195,116в
г. Москва, пл. Победы, д. 2, к. 1;6;;15522
г. Москва, пл. Победы, д. 2, к. 2;1;;52к2140
г. Москва, пл. Победы, д. 2, к. 2;2;;107к6001,200к1234,120к5540,118к3513,81 к 6332
г. Москва, пл. Победы, д. 2, к. 2;3;;155к7122,151в,206к1188
г. Москва, пл. Победы, д. 2, к. 2;5;;450к1234,450к1234,321к5036,290к5323
г. Москва, пл. Победы, д. 2, к. 2;6;;390к4550
г. Москва, пр-кт. Кутузовский, д. 1/7;1;;#2021 
г. Москва, пр-кт. Кутузовский, д. 1/7;5;;69р158
г. Москва, пр-кт. Кутузовский, д. 1/7;10;;151р755
г. Москва, пр-кт. Кутузовский, д. 10;1;;33р7664,85#7001,1р0577,45#8983
г. Москва, пр-кт. Кутузовский, д. 10;3;;117#2975,116#2534
г. Москва, пр-кт. Кутузовский, д. 11;1;;31в,31 в
г. Москва, пр-кт. Кутузовский, д. 15;3;;101в
г. Москва, пр-кт. Кутузовский, д. 15;4;;125#250
г. Москва, пр-кт. Кутузовский, д. 17;3;;200к2255,200к2259
г. Москва, пр-кт. Кутузовский, д. 18;2;;200k5522
г. Москва, пр-кт. Кутузовский, д. 18;4;;#423,31 в
г. Москва, пр-кт. Кутузовский, д. 18;5;;50к1712
г. Москва, пр-кт. Кутузовский, д. 18;6;;57в, 
г. Москва, пр-кт. Кутузовский, д. 18;7;;347,347
г. Москва, пр-кт. Кутузовский, д. 19;1;;200к5522,26к3263
г. Москва, пр-кт. Кутузовский, д. 19;3;;80к0659,61к2090
г. Москва, пр-кт. Кутузовский, д. 19;5;;114к2336
г. Москва, пр-кт. Кутузовский, д. 21;1;;38,28 /31,28 /9к6939,38 ./16,38/35,38/37,38/53
г. Москва, пр-кт. Кутузовский, д. 21;2;;68к9850,68к9850
г. Москва, пр-кт. Кутузовский, д. 23, к. 1;1;;11р3610,26#5050,11#9610
г. Москва, пр-кт. Кутузовский, д. 23, к. 1;2;;46#511,73р617,65456,54р581,32р909,46р511
г. Москва, пр-кт. Кутузовский, д. 23, к. 1;3;;64#450,115к8837,103к5082,91,120#2244,97к8313
г. Москва, пр-кт. Кутузовский, д. 23, к. 1;4;;151к8051,166к1212,127к9951,166к1212
г. Москва, пр-кт. Кутузовский, д. 23, к. 1;5;;179к7985
г. Москва, пр-кт. Кутузовский, д. 23, к. 2;1;;10р599
г. Москва, пр-кт. Кутузовский, д. 23, к. 2;3;;59к1336,44к7235,57к9369
г. Москва, пр-кт. Кутузовский, д. 23, к. 2;4;;61к7680,69 6884,68к1402
г. Москва, пр-кт. Кутузовский, д. 24;4;;85к6324,85 к 6324
г. Москва, пр-кт. Кутузовский, д. 24;5;;106к7402
г. Москва, пр-кт. Кутузовский, д. 24;6;;150к1076,155к3216,155к3216,141к7184,150к 1076
г. Москва, пр-кт. Кутузовский, д. 24;7;;250 в,250в
г. Москва, пр-кт. Кутузовский, д. 24;9;;541к 1530
г. Москва, пр-кт. Кутузовский, д. 24;13;;353к5079
г. Москва, пр-кт. Кутузовский, д. 24;14;;365#704
г. Москва, пр-кт. Кутузовский, д. 24;17;;449в,474в,в480в9237в,464в
г. Москва, пр-кт. Кутузовский, д. 24;18;;555к2105,555к2105,600,518в
г. Москва, пр-кт. Кутузовский, д. 25;1;;35к1668,28в,75к2280,7к3704,110к6515
г. Москва, пр-кт. Кутузовский, д. 25;2;;70в,81к2916,51к7256
г. Москва, пр-кт. Кутузовский, д. 27;1;;17в8447,14в1699
г. Москва, пр-кт. Кутузовский, д. 27;2;;44к8384,28к1845
г. Москва, пр-кт. Кутузовский, д. 27;3;;65к9271,65к9271
г. Москва, пр-кт. Кутузовский, д. 29;3;;р1430
г. Москва, пр-кт. Кутузовский, д. 29;4;;#1430,р1430,1
г. Москва, пр-кт. Кутузовский, д. 3;1;;34к9563,19к4403,р6054
г. Москва, пр-кт. Кутузовский, д. 3;2;;77к9600
г. Москва, пр-кт. Кутузовский, д. 31;2;;9041
г. Москва, пр-кт. Кутузовский, д. 31;3;;81 р8100
