Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, б-р. Рождественский, д. 17;1;;24в,17в
г. Москва, б-р. Рождественский, д. 17;2;;21к2100,21к2100
г. Москва, б-р. Рождественский, д. 19;1;;21в7094,10в7362
г. Москва, б-р. Рождественский, д. 21, стр. 2;1;;14в4476
г. Москва, б-р. Рождественский, д. 22/23, стр. 1;1;;5в0188
г. Москва, б-р. Цветной, д. 21, стр. 1;1;;1569,259,259к,148,925,0,20к3222,2233
г. Москва, б-р. Цветной, д. 21, стр. 6;1;;77к 7092,с60в,64 в
г. Москва, б-р. Цветной, д. 21, стр. 6;3;;82к1076,75,82к6269
г. Москва, б-р. Цветной, д. 23, стр. 1;1;;9 в.,22 ,10к 2100
г. Москва, б-р. Цветной, д. 23, стр. 1;2;;с32в,37 в
г. Москва, б-р. Цветной, д. 25, стр. 1;1;;20к3222,94 к3317,38 .,23к3704,27в,27к3562,21к9791,78к3456,09к2243,95к3610,38,94к3317,38 -,3
г. Москва, б-р. Цветной, д. 25, стр. 1;2;;031,38,17к77
г. Москва, б-р. Цветной, д. 25, стр. 1;3;;29в7326,29к7326,53
г. Москва, б-р. Цветной, д. 25, стр. 1;4;;69к1210,8к0356,150,150 ,61к7311,62 в,9к2243,68к0757,7к4897
г. Москва, пер. Банный, д. 2, стр. 1;1;;2193
г. Москва, пер. Банный, д. 2, стр. 1;2;;312#
г. Москва, пер. Банный, д. 2, стр. 1;3;;369 ,369 -,369,2360,084,39,2396
г. Москва, пер. Банный, д. 2, стр. 1;4;;0632,69в4984,141 в.,230 -,230,с112в.,с109в
г. Москва, пер. Банный, д. 2, стр. 1;5;;77в9104,48в5456,50в3502,390,5062,390 -,47в9448,390,65в6560,74в8721,154в5853,157в1868,61в5524,63к1097
г. Москва, пер. Банный, д. 2, стр. 1;6;;с 180 в,326 -,2305,5296,3520
г. Москва, пер. Банный, д. 2, стр. 2;1;;2193
г. Москва, пер. Банный, д. 2, стр. 2;2;;3125#,0312
г. Москва, пер. Банный, д. 4, стр. 1;1;5364;5364,4,268,286 -, 268,286,32 в,268 ,268.,24 268
г. Москва, пер. Банный, д. 4, стр. 1;2;;043,59#803,42в,61к1376,63к1605,57к6462,064,047,52р512,50к6426,045,058,046
г. Москва, пер. Банный, д. 4, стр. 1;3;;106 в,094,с91в, 480,480,480,480 
г. Москва, пер. Банный, д. 6;1;;438,348,с14в,02в,с5в,с9в,348
г. Москва, пер. Банный, д. 7, к. 1;1;;52,058,076в,63в,80,058в,50,70 в,39в,5 в
г. Москва, пер. Банный, д. 7, к. 2;1;;"23 в; 156,71в 156,52 в,39, 156,05,41в 156,12, 156,21 в,14 ."
г. Москва, пер. Банный, д. 8;1;;127,127.,127 ,19
г. Москва, пер. Банный, д. 8;2;;234 ,158в,380, 234,1,234,30 в
г. Москва, пер. Банный, д. 8;3;;47#2036,31р7035
г. Москва, пер. Больничный, д. 2;1;;240,24
г. Москва, пер. Ботанический, д. 11;1;;30в,8в,59в,24,с11в
г. Москва, пер. Ботанический, д. 12;1;;96 в,43в,82в
г. Москва, пер. Варсонофьевский, д. 4;1;;1р445
г. Москва, пер. Варсонофьевский, д. 4;6;;43р5109
г. Москва, пер. Васнецова, д. 11, стр. 1;1;;058,056,014,051,019,050,052,005,054,049,055,048,002,046,020,044,022,041,28 ,004,12в3198,038,029,009,060,006,057,053
г. Москва, пер. Васнецова, д. 11, стр. 1;2;;78,078в,102в,78 ,61
г. Москва, пер. Васнецова, д. 11, стр. 1;3;;123 .,158в,168 
г. Москва, пер. Васнецова, д. 11, стр. 2;1;;13в3652,12в3198,2в1903,6в8246,7в7860,37в8671,12,11в6081,18б6187
г. Москва, пер. Васнецова, д. 11, стр. 2;2;;34в6326,23в6235,24в8433
г. Москва, пер. Васнецова, д. 12;1;;11к6723,61в,85к5212
г. Москва, пер. Васнецова, д. 15, стр. 1;2;;90р0314
г. Москва, пер. Васнецова, д. 3;1;; 11 ,55в.,21 в,с54в,10,54в,03,с 46 в,199,10в,3к,06
г. Москва, пер. Васнецова, д. 3;2;;90к1390,86к0890,69 в,36,91к8925
г. Москва, пер. Васнецова, д. 3;3;;50,109,112 .,012,115 
г. Москва, пер. Выползов, д. 10;1;;37р1869,2512е/37#1869
г. Москва, пер. Выползов, д. 6;1;;589*/37
г. Москва, пер. Выползов, д. 8;1;;2669
г. Москва, пер. Глинистый, д. 12;1;;12в.,84в,61,065,с74,77 в,'',29,20,с58 в,с42,с35,31,23,66,с22,с10,36,с20,с71
г. Москва, пер. Головин Б., д. 11;1;;4к4372
г. Москва, пер. Головин Б., д. 14;1;;10в2910,2в8771,14в6039
г. Москва, пер. Головин Б., д. 16;1;;4в6858,7в2580
г. Москва, пер. Грохольский, д. 10/5;1;;1,13в,13в
г. Москва, пер. Грохольский, д. 10/5;2;;75в,43
г. Москва, пер. Грохольский, д. 10/5;3;;с88в,75в,75в
г. Москва, пер. Грохольский, д. 10/5;4;;122к 2107
г. Москва, пер. Грохольский, д. 30, к. 2;1;;8547,13к3333,57,2,45.,05
г. Москва, пер. Грохольский, д. 8/3, стр. 1;1;;110в,с10в,13в.
г. Москва, пер. Грохольский, д. 8/3, стр. 1;4;;110в,113 в
г. Москва, пер. Капельский, д. 13;1;;490 6в,4903,420,490,490, 9,490, 4в,83, 236,236.,236,490 / 10
г. Москва, пер. Капельский, д. 13;2;;680,8967,680
г. Москва, пер. Капельский, д. 13;3;;263,236 ,236,38236
г. Москва, пер. Капельский, д. 3;1;;44в,2015
г. Москва, пер. Колокольников, д. 12;1;;11в5030,115030
г. Москва, пер. Колокольников, д. 12;2;;18в7173
г. Москва, пер. Колокольников, д. 17;1;;17р5443,20#3552
г. Москва, пер. Колокольников, д. 17;2;;24#7816,25р5385
г. Москва, пер. Коптельский 1-й, д. 9, стр. 2;1;;49в4324
г. Москва, пер. Коптельский 1-й, д. 9, стр. 2;2;;61в2137
г. Москва, пер. Коптельский 1-й, д. 9, стр. 2;3;;77в4145
г. Москва, пер. Крестовский 2-й, д. 12;1;;284411,281в7777,6309,9563,220в3384,247в4953,259,288411,9650,3489,228411,822114,3540,228411,9524,1036,8517,4027,5038,8654,6351,1465,7539,312в3567,8706,49,2078,228, 411,3142,6410,083,3254,4751
г. Москва, пер. Крестовский 2-й, д. 12;2;;189в5489,171в0755,202в5578,106в7363,174в2001,163в3300,178в2571,153 в 8608,110в0334,204в5381
г. Москва, пер. Крестовский 2-й, д. 12;3;;215в4174,220v3384,2203384,225в3494,214в6836,245в4727,217в7515,226в6465,259,227в2726,208в3133,231в6672,213в2507,244в7964,224в4793,241в3574,239в7457,312в6735,259.,232в3394,283к7755,259,281 в 7777,288в7500,291в0082,208в3131,258в9951,299в5820,303в0752,269,259 ,304в3656,280 в 6666,в220в3384,259в4688,307в2553,в311в3467,246в7933,277в4177,224в4793,300в4103,222b6116,253в6469,269в6957,281в7777,1
г. Москва, пер. Крестовский 2-й, д. 4;1;;64к9427,30к4680,6к5333,280к3928,22 в,206к1111,11к0854,11к0554,6к5333,95к6944,94к0136,65к333,74к0700,73к1922,68к2504,61в,87,52к2443,46к5773,45к0289,42к8198,38к2224,36к5370,34к1860,1
г. Москва, пер. Крестовский 2-й, д. 4;2;;157к1785,103к8709,202к0922,201 , 240,к2006470,199в 240,106к4337,186к5078,193к5658,к2245,240,180к5767,159к4372,169к2141,171к2028,178к6173,165к2045,190к9335,107в,187 в,150к4032,154к0061,158к9439,99к51361,109к9598,206к1111,99к5136,280к3928,205к5031,131к0246,140.,141к4613,'',149к0136
г. Москва, пер. Крестовский 2-й, д. 4;3;283ключ7023;222к1705,276к4851,210к5026,280к3928,300к8937,311 к 7726,280к3928,277к1256
г. Москва, пер. Крестовский 2-й, д. 8;1;;024,041,44 в,008в,073,#253,58#253,026в,32,037, 37,13#400,13*400,048,97,092,091,090,15
г. Москва, пер. Крестовский 2-й, д. 8;2;;104,200,6846906,136 в,44р456,098
г. Москва, пер. Крестовский 2-й, д. 8;3;;201,224
г. Москва, пер. Орлово-Давыдовский, д. 1;1;;158#7723,5#1980,156#5288,155к2510,4802,3126,1456,6014,2716,4950,3450,7814
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;1;;2730,с4в,1 в,12
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;2;;482411
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;4;;379 ,46б9742,379.,379,379
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;5;; 812,812,812,.55.
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;6;;85к8005,68
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;7;;82к4990,84к8270,91к6521,85к8165
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 1;8;;с108в,98,103
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 2;1;;113в2242,128в2400,128к2400
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 2;2;;113в2242,126439,44в9283
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 2;3;;113в2242
г. Москва, пер. Орлово-Давыдовский, д. 2/5, стр. 2;4;;46в9742,379,46в4792
