Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пер. Очаковский 1-й, д. 10;1;В4В5469В;6в,13в,136,в4в5469в
г. Москва, пер. Очаковский 1-й, д. 10;2;В2В1408;107в
г. Москва, пер. Очаковский 1-й, д. 10;3;;27в,26в,37 в,37в
г. Москва, пер. Очаковский 1-й, д. 3;1;;80 в ,80в,68k,7,80,80 ,80в(),80в 
г. Москва, пер. Очаковский 1-й, д. 3;2;;74в,в9876в,60в,107в ,115в,74в,112в,110в
г. Москва, пер. Очаковский 1-й, д. 3;3;;137 в ,193в,137в,146в,173в, р,157в,139в,205,205в,147в
г. Москва, пер. Очаковский 1-й, д. 3;4;;241 в,231 в,253к в,203в
г. Москва, пер. Очаковский 1-й, д. 4;1;;168 ,168 ,168,168 
г. Москва, пер. Очаковский 2-й, д. 7;2;;063,059,14в,074,065,068
г. Москва, пер. Очаковский 2-й, д. 7;3;; 38, 89
г. Москва, пер. Очаковский 4-й, д. 3;1;;47,47
г. Москва, пер. Очаковский 4-й, д. 3;2;;479,479
г. Москва, пер. Очаковский 4-й, д. 3;3;;379,379
г. Москва, пр-кт. Мичуринский, д. 10, к. 1;2;;059,058,054в,061,070,072,064,050
г. Москва, пр-кт. Мичуринский, д. 10, к. 1;3;;*87*7837
г. Москва, пр-кт. Мичуринский, д. 10, к. 1;4;;151в,142в,124в,152 в,152в
г. Москва, пр-кт. Мичуринский, д. 11, к. 2;1;;55,21
г. Москва, пр-кт. Мичуринский, д. 12, к. 1;1;;32,13
г. Москва, пр-кт. Мичуринский, д. 13;1;;.81,111к8589,033,1,26к221,153к4540,88к9681,16к4215,67з,206,80к6589,201 в,040,211к1701,061,104к1400
г. Москва, пр-кт. Мичуринский, д. 13;2;;98в,119в,111в
г. Москва, пр-кт. Мичуринский, д. 13;3;;180в,137в
г. Москва, пр-кт. Мичуринский, д. 13, к. 1;1;;39в,5 в,95,к115,1,129в,16 в,184,225
