Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, ул. Николая Химушина, д. 1;1;;11в,33р3978,33в,4р1629,30в,33 в
г. Москва, ул. Николая Химушина, д. 1;2;;64#6589
г. Москва, ул. Николая Химушина, д. 1;3;;96 в,101в,104 в,с90в,104в
г. Москва, ул. Николая Химушина, д. 1;4;;136в,122в,9999#6607
г. Москва, ул. Николая Химушина, д. 11, к. 1;1;;15в4637,к123в,9в9746
г. Москва, ул. Николая Химушина, д. 11, к. 1;2;;18 в 6146,22в6039,30в3112,46в1919,22 в 6039
г. Москва, ул. Николая Химушина, д. 11, к. 1;3;9к7776;34в6079,34к6079,22в6039,32в5952
г. Москва, ул. Николая Химушина, д. 11, к. 2;1;;2976
г. Москва, ул. Николая Химушина, д. 11, к. 2;2;;3407
г. Москва, ул. Николая Химушина, д. 11, к. 2;3;;7240
г. Москва, ул. Николая Химушина, д. 11, к. 2;4;;2489
г. Москва, ул. Николая Химушина, д. 11, к. 3;1;6945;6945,4569
г. Москва, ул. Николая Химушина, д. 11, к. 3;2;;7015
г. Москва, ул. Николая Химушина, д. 11, к. 3;3;;6317
г. Москва, ул. Николая Химушина, д. 11, к. 3;4;40к3159;1238,1328
г. Москва, ул. Николая Химушина, д. 13, к. 1;1;;19 в,8231
г. Москва, ул. Николая Химушина, д. 13, к. 1;2;;17р9531,22#6461,42#285,27р5269,27#5269,30#5376,22#6461,19р6476
г. Москва, ул. Николая Химушина, д. 13, к. 1;3;;40#149
г. Москва, ул. Николая Химушина, д. 13, к. 1;4;;55#1274,3р9138,3#9138,57р9604,60#5787,57#9604
г. Москва, ул. Николая Химушина, д. 13, к. 2;1;;1238,1238 ,37#279,2183
г. Москва, ул. Николая Химушина, д. 13, к. 2;2;;1237 ,1238
г. Москва, ул. Николая Химушина, д. 13, к. 2;3;;40#208,2138 ,3218 .,37#279,40р208
г. Москва, ул. Николая Химушина, д. 13, к. 3;2;;55в,54в,81в,83в
г. Москва, ул. Николая Химушина, д. 13, к. 5;1;;13 р 700,10*10#220,1#231,13#700
г. Москва, ул. Николая Химушина, д. 13, к. 5;2;;1р847,18р241,23#748,18#241
г. Москва, ул. Николая Химушина, д. 13, к. 5;3;;1#843,44р834
г. Москва, ул. Николая Химушина, д. 15, к. 1;1;;6р153,17#391,6794,4#771
г. Москва, ул. Николая Химушина, д. 15, к. 1;2;;1238
г. Москва, ул. Николая Химушина, д. 15, к. 1;3;;1042,1027
г. Москва, ул. Николая Химушина, д. 15, к. 1;4;;66137,6137
г. Москва, ул. Николая Химушина, д. 15, к. 2;1;;17р145,16р047,18 # 269, р,12#957,6#193,16#047
г. Москва, ул. Николая Химушина, д. 15, к. 2;2;;356,2831
г. Москва, ул. Николая Химушина, д. 15, к. 2;3;;2831,138
г. Москва, ул. Николая Химушина, д. 15, к. 2;4;;1238,2318,1637
г. Москва, ул. Николая Химушина, д. 15, к. 3;1;;17в2838,1в8486
г. Москва, ул. Николая Химушина, д. 15, к. 3;2;34в9513;27в5853,32 в 2360,21 в 3872,35в1809,22в2969,32в2360
г. Москва, ул. Николая Химушина, д. 15, к. 3;3;;32в2360,26в4672,41б5485,47в2818
г. Москва, ул. Николая Химушина, д. 15, к. 3;4;;62в8926
г. Москва, ул. Николая Химушина, д. 17, к. 1;1;;2381
г. Москва, ул. Николая Химушина, д. 17, к. 1;2;;1382
г. Москва, ул. Николая Химушина, д. 17, к. 1;3;;1238,1238
г. Москва, ул. Николая Химушина, д. 17, к. 1;4;;50#4746,50#4746,'',50 4746,55#3082,52#2595
г. Москва, ул. Николая Химушина, д. 17, к. 2;1;;6в7769,10в3399,19в4396
г. Москва, ул. Николая Химушина, д. 17, к. 2;2;;29в7987,36в0633,9999в7973,35в8982
г. Москва, ул. Николая Химушина, д. 17, к. 2;3;;49в6731,53в2053,66в4064
г. Москва, ул. Николая Химушина, д. 19, к. 1;1;;8к.3485,13к9533,18к5877
г. Москва, ул. Николая Химушина, д. 19, к. 1;2;;100к1943,40к2404
г. Москва, ул. Николая Химушина, д. 19, к. 1;3;;60в3698
г. Москва, ул. Николая Химушина, д. 19, к. 2;1;;2867
г. Москва, ул. Николая Химушина, д. 19, к. 2;2;;3р0466,31р7496,32#6473,32 р.6473,32р6473,38 # 3365
г. Москва, ул. Николая Химушина, д. 19, к. 2;3;;3860
г. Москва, ул. Николая Химушина, д. 19, к. 2;4;;6257,62 57 
г. Москва, ул. Николая Химушина, д. 19, к. 3;1;;19в5035,10в8451,8в6377
г. Москва, ул. Николая Химушина, д. 19, к. 3;2;;35в7666,21в8167,22в0371,40в1414
г. Москва, ул. Николая Химушина, д. 19, к. 3;3;;44в4411,48в7846
г. Москва, ул. Николая Химушина, д. 19, к. 3;4;;73#4055,632143,70#8040,63#2143,73в4055,63р2143,73#4055
г. Москва, ул. Николая Химушина, д. 21, к. 1;1;;10в0609,3в5001
г. Москва, ул. Николая Химушина, д. 21, к. 1;2;;23в0867,38в4461,33в3229,28в0211,28 в 0211
г. Москва, ул. Николая Химушина, д. 21, к. 1;3;;72в5978,45в457,43в3869,51в6913,52в0600
г. Москва, ул. Николая Химушина, д. 21, к. 1;4;;67в6458
г. Москва, ул. Николая Химушина, д. 21, к. 2;1;;18в5821,2в6812,10в8463,5в2535,6в2126,15в9828,54в7460,60в9093,8в1630
г. Москва, ул. Николая Химушина, д. 21, к. 2;2;;26в2931,39в7283,37 3997,29в5514,38в8683,37 в 3997,34в3876,27в2149,23в4989
