Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, б-р. Марьинский, д. 11;1;;4в,17к8722,306649,20к3624,55к3762,20к3624
г. Москва, б-р. Марьинский, д. 11;2;;50к4321,142к5222
г. Москва, б-р. Марьинский, д. 11;3;;100к1234
г. Москва, б-р. Марьинский, д. 11;4;;225к8903,100#1234,210
г. Москва, б-р. Марьинский, д. 11;5;;257к9101,255к4341,300к1234
г. Москва, б-р. Марьинский, д. 11;6;;324к9593,362,324к9593,1,322к3887,305к6647,390к1234,289к4985
г. Москва, б-р. Марьинский, д. 11;7;;342!0814,330к7226,7112,366 в,355к7387,348к707,348к7074
г. Москва, б-р. Марьинский, д. 3;1;;293в,312в
г. Москва, б-р. Марьинский, д. 3;2;;351в,324к2303,355к0658,428,356к7079,357к6565,345к4835,302,357к1964,319
г. Москва, б-р. Марьинский, д. 3;3;;386к7757
г. Москва, б-р. Марьинский, д. 3;4;;503к
г. Москва, б-р. Марьинский, д. 3;5;;465к,312в,482в,473к
г. Москва, б-р. Марьинский, д. 3;6;;553в,514 в,95в
г. Москва, б-р. Марьинский, д. 4;1;;в298в3112,304d,в270в4663
г. Москва, б-р. Марьинский, д. 4;2;;323в,в348в8601в
г. Москва, б-р. Марьинский, д. 4;3;;386к6157
г. Москва, б-р. Марьинский, д. 4;4;;36,69,49,27
г. Москва, б-р. Марьинский, д. 4;5;;655в,547,444,455,490 
г. Москва, б-р. Марьинский, д. 4;6;;530к8238,541к0521,531к3262,505,00,558к9501,549к6347,538 2008
г. Москва, б-р. Мячковский, д. 10, к. 1;1;;20к2751,20 к 2751
г. Москва, б-р. Мячковский, д. 10, к. 1;2;;24в,13в
г. Москва, б-р. Мячковский, д. 11;1;;9в,100 ,в2в1417,88,11,1
г. Москва, б-р. Мячковский, д. 11;2;;162в,1@2937
г. Москва, б-р. Мячковский, д. 14, к. 2;1;;58*3155,45к5191,58к3155,5к1105,58к3155
г. Москва, б-р. Мячковский, д. 14, к. 2;2;;111,174,153 в
г. Москва, б-р. Мячковский, д. 16, к. 1;1;;в4в7325,в202в1123,в2в1730,в30в7471,1,в17в4117,в39в0092,в37
г. Москва, б-р. Мячковский, д. 16, к. 1;2;;1к1234,1к1234,70к2757
г. Москва, б-р. Мячковский, д. 16, к. 1;3;;1к,108 в.,99в
г. Москва, б-р. Мячковский, д. 16, к. 1;4;;200к7818
г. Москва, б-р. Мячковский, д. 16, к. 1;5;;в202в5394в,в202в5394в
г. Москва, б-р. Мячковский, д. 16, к. 1;6;;в340в4328
г. Москва, б-р. Мячковский, д. 16, к. 1;8;;8376,346к,в352в4205,357
