Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пер. Вокзальный, д. 10;1;;в71в0423,к 17 к 3720,в44в5274, в35в6272,в70в8798,в79в3654,в75в3421,3в,в63в7063,в17в3720,131632,в97в7360,в 65 в 1030,в17в,в16в1046
г. Москва, пер. Вокзальный, д. 3;1;в12в2987;в150в1212,27к6319,в150в1515
г. Москва, пер. Вокзальный, д. 3;2;в27в1717;в16в2343
г. Москва, пер. Вокзальный, д. 3;3;в36в1686;в 27 в 1717
г. Москва, пер. Вокзальный, д. 3;4;;в50в4538,в150в1515,в150в1212
г. Москва, пер. Вокзальный, д. 3, к. 1;1;;55к9810,100к1234,19к7571,66к3279,37в,100 к 1234,1к10201,1к9397,17к6006,27к6319, 1к9397
г. Москва, пер. Вокзальный, д. 3, к. 1;2;;87 в ,94в
г. Москва, пер. Вокзальный, д. 4;1;;в7232,в3в6543,в11в0842,в44в1737
г. Москва, пер. Вокзальный, д. 4;2;;в200в0,в27в2549 ,в21в4747
г. Москва, пер. Вокзальный, д. 4;3;;в29,в39в5024,в40в2689
г. Москва, пер. Вокзальный, д. 5;1;;2010
г. Москва, пер. Вокзальный, д. 5;2;;2009
г. Москва, пер. Вокзальный, д. 6, к. 1;1;;168,169,
г. Москва, пер. Вокзальный, д. 7, к. 1;1;;в13в9646,в12в2765,в6в6423,в10в3712,в11в8523,в17в7579,в9в0965,в4в2747
г. Москва, пер. Вокзальный, д. 7, к. 1;2;;25в4751,в30в3653,в21в4659,в27в5127,в19в8546
г. Москва, пер. Вокзальный, д. 7, к. 2;1;;в88в2135,в38в8649,в8в6274,в4в7970,в39в0247,в54в7969,в52в7431,в25в7202,10в0481,к11к4647,в17в7632,в64в9531
г. Москва, пер. Вокзальный, д. 8, к. 1;1;;в14в7257
г. Москва, пер. Вокзальный, д. 8, к. 2;1;;в171в7427,в112в8272,195в,в109в8754,в111в3432,в117в3542в,в117в3542,в173в4625,в194в7373,в155в9737,в155в 9737,в101в7279,в175в7938,в112в8272 
г. Москва, пер. Вокзальный, д. 9;1;;к9к5367,в30в5824,в61в0569,в81в4708,к30к5824,в9в5367,в8в578,в10в3696,в 16 в 6349,в98в0341,в 65 в 9873,в4в1432,в47в5610,в 10 в 3696,в80в1472,в40в3931,в2в4373
г. Москва, пер. Новоподмосковный 1-й, д. 4;1;;021в,040в,010,022,019,009,012в
г. Москва, пер. Новоподмосковный 1-й, д. 4;2;в53в2451;в53в2451,b53b2451,42в
г. Москва, пер. Новоподмосковный 1-й, д. 4;3;;78в,84
г. Москва, пер. Новоподмосковный 1-й, д. 4;4;86к6369;86к6369
г. Москва, пер. Новоподмосковный 2-й, д. 10, к. 1;1;;21в,33,в1в7323,77,28в
г. Москва, пер. Новоподмосковный 2-й, д. 3А;1;;12 .
г. Москва, пер. Новоподмосковный 2-й, д. 3А;2;;55к1796,11к0145
г. Москва, пер. Новоподмосковный 2-й, д. 3А;3;;в76в8278,71,к57к6535,к65к4064,к71к4616,к74к3749
г. Москва, пер. Новоподмосковный 2-й, д. 4;1;;62к8135
г. Москва, пер. Новоподмосковный 2-й, д. 5;1;;16к8532,7к0340,3к8534
г. Москва, пер. Новоподмосковный 2-й, д. 5;3;;70/70,68к1428,3к1111,100
г. Москва, пер. Новоподмосковный 2-й, д. 6;1;;32к6196,1к6701,13к8979,11к9363,33к3790,32к6196
г. Москва, пер. Новоподмосковный 2-й, д. 6;2;;56к5187,61к4947,59к8773
г. Москва, пер. Новоподмосковный 2-й, д. 6;3;;107 к 2163,81к3745,92 в.
г. Москва, пер. Новоподмосковный 2-й, д. 6;4;;124к2452,112 в,112в
г. Москва, пер. Новоподмосковный 2-й, д. 6;5;;к171к6020
г. Москва, пер. Новоподмосковный 2-й, д. 6;6;;в201в3076#,в216в2050,в208в8649
г. Москва, пер. Новоподмосковный 2-й, д. 6;7;;247к1090,248к3318,217к6205
г. Москва, пер. Новоподмосковный 2-й, д. 6;8;;283 к 6616,300к1234,к259к4707,к254к4764,в279в9491,254к1017,к266к5670,2739158,280в6360,к 268 к 4153,280к9350
г. Москва, пер. Новоподмосковный 2-й, д. 8;1;;в16в7343,б7б5617,в5в8451,в14в2738,к3к3683
г. Москва, пер. Новоподмосковный 2-й, д. 8;2;;в46в3827,в44в5625,к58к6714,в60в7675
г. Москва, пер. Новоподмосковный 2-й, д. 8;3;;в61в3653,к92к8175,к83к3506
г. Москва, пер. Новоподмосковный 2-й, д. 8;4;;100к,в127в7638,111 в ,119 в
г. Москва, пер. Новоподмосковный 3-й, д. 3, к. 3;1;;205462
г. Москва, пер. Новоподмосковный 3-й, д. 3, к. 3;2;;100к1234,30к1497,387262,37
г. Москва, пер. Новоподмосковный 3-й, д. 4, к. 4;1;;в42в3679
г. Москва, пер. Новоподмосковный 3-й, д. 4, к. 4;2;;248238,248
г. Москва, пер. Новоподмосковный 3-й, д. 6;1;;16к2094,14к8787
г. Москва, пер. Новоподмосковный 3-й, д. 6;2;;в234в4147,в39в3728,в43в7506,60 в,в61в4937,в50в6523,в49в2073,в 51 в 6278
г. Москва, пер. Новоподмосковный 3-й, д. 6;3;;в75в6162
г. Москва, пер. Новоподмосковный 3-й, д. 6;4;;111к0763
г. Москва, пер. Новоподмосковный 3-й, д. 6;5;;в169в1620
г. Москва, пер. Новоподмосковный 3-й, д. 6;6;;в192в1392,204в,в 201 в 7451,к215к8654,в191в1392
г. Москва, пер. Новоподмосковный 3-й, д. 6;7;;в249в5635,226в,226 в,248в,247в,в 249 в 5635
г. Москва, пер. Новоподмосковный 3-й, д. 6;8;;к288к4724,в259в4075,в256в6354
г. Москва, пер. Новоподмосковный 4-й, д. 3;1;;в3в6481,в1в5265,в 1 в 5265,в11в4659,в2в4272,в12в6137,в5в3624,в3в6481,в5в 3624
г. Москва, пер. Новоподмосковный 4-й, д. 3;2;;в17в5437
г. Москва, пер. Новоподмосковный 4-й, д. 3;3;;в24в5675,в21в2051
г. Москва, пер. Новоподмосковный 4-й, д. 3;4;;в34в3287,в30в5363,к2к4272,в31в9270
г. Москва, пер. Новоподмосковный 4-й, д. 3;5;;в39в5751,в38в7213,в43в6846
г. Москва, пер. Новоподмосковный 5-й, д. 4, к. 1;1;;1к2972,1к1358,1к2972/54к0653,1к1358\54к0653,1к1358,1к2972/43
г. Москва, пер. Новоподмосковный 5-й, д. 4, к. 1;2;;347,347/104,347/83,347/119,347/83,347/99,347/119,347 
г. Москва, пер. Новоподмосковный 5-й, д. 4, к. 2;1;;196к2619,145к3315,152к9268
г. Москва, пер. Новоподмосковный 5-й, д. 4, к. 2;2;;207в,215к0318
г. Москва, пер. Новоподмосковный 6-й, д. 1;1;;45,23,3,26,42
г. Москва, пер. Новоподмосковный 6-й, д. 10;1;;в10в1626,в19в2869,в22в7318,в3в4735
г. Москва, пер. Новоподмосковный 6-й, д. 10;2;;в37,в22в7318
г. Москва, пер. Новоподмосковный 6-й, д. 10;3;;в50в2313,в 50 в 2313
г. Москва, пер. Новоподмосковный 6-й, д. 12;1;в51в5753;48к6521,22к8767,8,32к1629,55,46к8148,35к0002,39к4887
г. Москва, пер. Новоподмосковный 6-й, д. 12;2;в87в5656;в87в5656,в77в2851,87в,в57в 6057,107 в 7565,в101в4157,87 в
г. Москва, пер. Новоподмосковный 6-й, д. 4;1;;в 14 в 7257, в200в1234,в200в1234
г. Москва, пер. Новоподмосковный 6-й, д. 4;2;;в21в6713,35#,в28в5253,в27в1518,в26в1628,в18в1383
г. Москва, пер. Новоподмосковный 6-й, д. 4;3;37 В;р37р6865
г. Москва, пер. Новоподмосковный 6-й, д. 5;1;;25,2
г. Москва, пер. Новоподмосковный 6-й, д. 5;2;;33,42,45,55,77,69
г. Москва, пер. Новоподмосковный 6-й, д. 6;1;;2 в,в1в6326,в17в7579,2в,в7в3595,в 7в 3595,в4в4328
г. Москва, пер. Новоподмосковный 6-й, д. 6;2;;в33в8656,в24в1630,в30в6597,в32в7536
г. Москва, пер. Новоподмосковный 6-й, д. 6;3;;в58в7474,в51в8313,в43в1535,в60в8426,59в1459
г. Москва, проезд. Войковский 1-й, д. 10;1;;37,49
г. Москва, проезд. Войковский 1-й, д. 10;2;;49 ,49
г. Москва, проезд. Войковский 1-й, д. 10;3;;25 ,25
г. Москва, проезд. Войковский 1-й, д. 12;1;;638,239
г. Москва, проезд. Войковский 1-й, д. 12;2;;345,345
г. Москва, проезд. Войковский 1-й, д. 14;1;;р423,1,4#456
г. Москва, проезд. Войковский 1-й, д. 14;2;;12#345,#423,*423
г. Москва, проезд. Войковский 1-й, д. 14 Б;1;;2к6294
г. Москва, проезд. Войковский 1-й, д. 14 Б;2;;24к3189,23к6695
г. Москва, проезд. Войковский 1-й, д. 14 Б;3;;59к9263,54 к 3729,50к6985,60к8358
г. Москва, проезд. Войковский 1-й, д. 14 В;1;;6к3080
г. Москва, проезд. Войковский 1-й, д. 14 В;2;;39к3608,к387654,21к6824
г. Москва, проезд. Войковский 1-й, д. 14 В;3;;54к6494
г. Москва, проезд. Войковский 1-й, д. 16, к. 1;1;;8613,с13в 
г. Москва, проезд. Войковский 1-й, д. 16, к. 1;2;;33в,в414в
г. Москва, проезд. Войковский 1-й, д. 16, к. 1;4;;92к1099,133к0275,92 1099
г. Москва, проезд. Войковский 1-й, д. 16, к. 1;5;;139к1618,134к4647,106к4852,133к0275
г. Москва, проезд. Войковский 1-й, д. 16, к. 1;6;;146 в 
г. Москва, проезд. Войковский 1-й, д. 16, к. 2;3;;в200в1958
г. Москва, проезд. Войковский 1-й, д. 16, к. 3;2;;380,38,308
г. Москва, проезд. Войковский 1-й, д. 16, к. А;1;;6#3335
г. Москва, проезд. Войковский 1-й, д. 16, к. А;2;;7#1811,7р1811
г. Москва, проезд. Войковский 1-й, д. 4, к. 1;1;;,13в,в15в5346,6 в
г. Москва, проезд. Войковский 1-й, д. 4, к. 1;2;;в20,в 17 в 7642,к24к1042,в22в 3405,32 в,в23в8672,в17в 7642
г. Москва, проезд. Войковский 1-й, д. 4, к. 1;3;;в45в3437
г. Москва, проезд. Войковский 1-й, д. 6, к. 1;1;;8к3150,79,129
г. Москва, проезд. Войковский 1-й, д. 6, к. 1;2;;79,79
г. Москва, проезд. Войковский 1-й, д. 6, к. 2;2;;-38,38
г. Москва, проезд. Войковский 2-й, д. 1;1;;3к9075,2к5207,15в
г. Москва, проезд. Войковский 2-й, д. 1;2;;38к8185,35к8681,26к1294
г. Москва, проезд. Войковский 2-й, д. 1;3;;41к4806,43к7272
г. Москва, проезд. Войковский 2-й, д. 2;1;;14к0217,13в
г. Москва, проезд. Войковский 2-й, д. 2;2;;27к9491,29к4226
г. Москва, проезд. Войковский 2-й, д. 2;3;;61в3953
г. Москва, проезд. Войковский 2-й, д. 2;4;;70к0843
г. Москва, проезд. Войковский 2-й, д. 3;1;;6к2463,в34в4568
г. Москва, проезд. Войковский 2-й, д. 3;2;;в35в5367
г. Москва, проезд. Войковский 2-й, д. 3;3;;в31в0612,в35в5367
г. Москва, проезд. Войковский 2-й, д. 5;1;;3к7097,20*5079
г. Москва, проезд. Войковский 2-й, д. 5;2;;36 в
г. Москва, проезд. Войковский 2-й, д. 7, к. 1;1;;10к2340
г. Москва, проезд. Войковский 2-й, д. 7, к. 1;2;;36к6912,25к7558,23к6195,25к7558
г. Москва, проезд. Войковский 2-й, д. 7, к. 2;1;;52 к 2057,54к6068,41к8274,45к1818,56к6776
г. Москва, проезд. Войковский 2-й, д. 7, к. 2;2;;70к0822,69к7161,65к3752,100к4444,72к1450,71к1013
г. Москва, проезд. Войковский 4-й, д. 10;1;;5к1293,1к0074,13к8842,2к5390,26 к7129,31к7519
г. Москва, проезд. Войковский 4-й, д. 10;2;;к42к4874,к48к9245,к34к7306,к61к2547,к46к5434,к36к4261
г. Москва, проезд. Войковский 4-й, д. 10;3;;к72 к4537,к97к3723,к95к2367,92,94к2367,к93к6165
г. Москва, проезд. Войковский 4-й, д. 10;4;;105к1705,122к6681,125к1541
г. Москва, проезд. Войковский 4-й, д. 3;1;;в2в2343,в15в9472
г. Москва, проезд. Войковский 4-й, д. 3;2;;в21в3521,в38в4235,в23в1177,в21в3521
г. Москва, проезд. Войковский 4-й, д. 3;3;;41к7585,в61в0736
г. Москва, проезд. Войковский 4-й, д. 3;4;;73р0835,73к0835,75#1996,64к0236,64к0236,77к1428,75к7000
г. Москва, проезд. Войковский 4-й, д. 4;1;;67в8352,8к7057,13,67к8352,42к5918
г. Москва, проезд. Войковский 4-й, д. 5;1;;в5в7414
г. Москва, проезд. Войковский 4-й, д. 5;2;;в31в6296,в48в9326,в41в6974,в27в8672
г. Москва, проезд. Войковский 4-й, д. 5;3;;в57в6526,53в,в48в9326
г. Москва, проезд. Войковский 4-й, д. 5;4;;в64в0463,в77в3234,в78в2647
г. Москва, проезд. Войковский 4-й, д. 6, к. 2;1;;в13в5901в
г. Москва, проезд. Войковский 4-й, д. 6А;1;;83к5736,87к6232,47к0684,35к5242,65
г. Москва, проезд. Войковский 4-й, д. 8;1;;в 8в 3474,в3в6594,в3в6594
г. Москва, проезд. Войковский 4-й, д. 8;2;;в37в7404,в22в0257,в45в1357,в35в6546
г. Москва, проезд. Войковский 4-й, д. 8;3;;614814,в58в4312,в52в5746,в56в4079
г. Москва, проезд. Войковский 4-й, д. 8;4;;в62в4623,в74в6738,в72в1213,в78в9294,в8в3474,в81в6436
г. Москва, проезд. Войковский 4-й, д. 9;1;;10к0158,8к5624,3к9341
г. Москва, проезд. Войковский 4-й, д. 9;2;;26к8734
г. Москва, проезд. Войковский 4-й, д. 9;3;;61к8241,44к1743
г. Москва, проезд. Войковский 4-й, д. 9;4;;62л9421,57к7271,к1к0319,63к1000905
г. Москва, проезд. Войковский 5-й, д. 10;1;;к100к1234,з20з3265,в10в4627,100
г. Москва, проезд. Войковский 5-й, д. 10;2;;в22в4537,в21в3486,в24в0685,в55в1046
г. Москва, проезд. Войковский 5-й, д. 10;3;;в50в2527
г. Москва, проезд. Войковский 5-й, д. 10;4;;55в,в 61 в 4346,58 в,56в,58в
г. Москва, проезд. Войковский 5-й, д. 14;1;;в13в7627,в55в4167,в06в9301,в01в6546,в73в9295,09,в19в2753
г. Москва, проезд. Войковский 5-й, д. 14;2;;в23в3964,в99в4732
г. Москва, проезд. Войковский 5-й, д. 14;3;;в43в1264
г. Москва, проезд. Войковский 5-й, д. 16;1;;6к0644,128,52к2337,53к8913,55к4672,7к6922,27к4374,96#7955
г. Москва, проезд. Войковский 5-й, д. 16;2;;в200в1234
г. Москва, проезд. Войковский 5-й, д. 2;3;;90,99,12 ,12
г. Москва, проезд. Войковский 5-й, д. 2;4;;90,98 ,89 ,90 
г. Москва, проезд. Войковский 5-й, д. 2;5;;17-,17
г. Москва, проезд. Войковский 5-й, д. 2;6;;89,98
г. Москва, проезд. Войковский 5-й, д. 4;1;;16к144,10к123,92,20к777,69к285,33к339,53к530,80к169,40к456,60к735,58к777,62к670,70к192
г. Москва, проезд. Войковский 5-й, д. 6;1;;2к5443,247 \,247/6
г. Москва, проезд. Войковский 5-й, д. 6;2;;в15в3161
г. Москва, проезд. Войковский 5-й, д. 6;3;;з16з4185,в22в4747,в21в0748
г. Москва, проезд. Войковский 5-й, д. 6;4;;42в,в38в 6503,в38в6503,45в
г. Москва, проезд. Войковский 5-й, д. 8;1;;52в2086,50к5373,59к3006,52к2086,52к2086
г. Москва, проезд. Войковский 5-й, д. 8;2;;в40в3829,1в
г. Москва, проезд. Старопетровский, д. 10Б;1;;,200в
г. Москва, проезд. Старопетровский, д. 12;1;;к87к2487,к125к1452,к90к7364,1,к20к2526
г. Москва, проезд. Старопетровский, д. 12;2;;54#,#100#4554,57р
г. Москва, проезд. Старопетровский, д. 12;3;;^89^7561,к113к4262,114к,к122к8563,к133к9141,к20к2526
г. Москва, проезд. Старопетровский, д. 12, к. 1;1;;44,70 ,13к,37в,46в
г. Москва, проезд. Старопетровский, д. 12, к. 1;2;;87в,92,96р
г. Москва, проезд. Старопетровский, д. 12, к. 4;1;;в9537,к 9537,9537
г. Москва, проезд. Старопетровский, д. 12, к. 4;3;;3652,3652, 3652
г. Москва, проезд. Старопетровский, д. 12, к. 5;1;;1007273,100к7273
г. Москва, проезд. Старопетровский, д. 12, к. 6;3;;,289,289,
г. Москва, проезд. Старопетровский, д. 12, к. 6;4;;69,96
г. Москва, проезд. Старопетровский, д. 12, к. 7;1;301к1480;301к1480,294к9229,306к0198,292к9176,292к9176
г. Москва, проезд. Старопетровский, д. 12, к. 7;2;318к5320;318к0720,314к4819,318к5320,317.1918,350,317к1918,450к1234
г. Москва, проезд. Старопетровский, д. 12, к. 7;3;;5555в,5555 в,5555в,325в
г. Москва, ул. Адмирала Макарова, д. 11;1;;в16в7343,в18в2907,в 9 в 7636,в10в3156
г. Москва, ул. Адмирала Макарова, д. 11;2;;в22в0607,в33в6727,35в,в29в7461,в19в9512
г. Москва, ул. Адмирала Макарова, д. 11;3;;в40в2579,в51в5753,в40,в53в8214,в52в1647,в44в8527
г. Москва, ул. Адмирала Макарова, д. 12;1;;в3в5615,в 15 в 7986
г. Москва, ул. Адмирала Макарова, д. 12;2;;27к0820,25к6520,28к5111,24к7070,30к3123,35к3697,34к5700,32к1269,54к0218,26к4815
г. Москва, ул. Адмирала Макарова, д. 12;3;;56к8651,43к7720,48к1180,54к0218
г. Москва, ул. Адмирала Макарова, д. 12;4;;в79в1459,в64в1185,в66в8756,в67в3646,в69в3151,в73в5251,в80в8426,в75в2164
г. Москва, ул. Адмирала Макарова, д. 13;1;;в15в2373,в12 в 7020,в 15 в 2373,в4в3706
г. Москва, ул. Адмирала Макарова, д. 13;2;;в17в4351,в31в2820,в42в9514
г. Москва, ул. Адмирала Макарова, д. 13;3;;в37в0246,в39в6714,41,в42в9514,б33б0436,в36в3435
г. Москва, ул. Адмирала Макарова, д. 13;4;;в51в1352
г. Москва, ул. Адмирала Макарова, д. 17, к. 1;1;;в15в5461,в10в1316,в13в7020,в14в3060,б9б9492,в8в1234,в62в2046
г. Москва, ул. Адмирала Макарова, д. 17, к. 1;2;;в40в1658,в40в0929,в27в6235,в20в7138,в37в7672,в44в5752
г. Москва, ул. Адмирала Макарова, д. 17, к. 1;3;;в31в 8541,в44в5752
г. Москва, ул. Адмирала Макарова, д. 17, к. 1;4;;в63в1257
г. Москва, ул. Адмирала Макарова, д. 17, к. 2;1;;73в,в77в5434,в75в5323
г. Москва, ул. Адмирала Макарова, д. 17, к. 2;2;;в99в7605,в95в5461,в104в0459
г. Москва, ул. Адмирала Макарова, д. 17, к. 2;3;;в106в8276,в114в8120,в130в9067
г. Москва, ул. Адмирала Макарова, д. 17, к. 2;4;;в137в5134,в133в3531,в129в3130,в133в3531в,в142в5372
г. Москва, ул. Адмирала Макарова, д. 19, к. 1;1;;12в5379,в4в3802,в6в5261,в16в8754
г. Москва, ул. Адмирала Макарова, д. 19, к. 1;2;;в38в0527,в36в8958,в 38 в 0527,в35в6825,в34в1241
г. Москва, ул. Адмирала Макарова, д. 19, к. 1;3;;в56в1725,в44в1480,в41в6941,в34в1241
г. Москва, ул. Адмирала Макарова, д. 19, к. 1;4;;в74в1817,в72в2527,в71в8570,в80в0847,б79б7685,в73в0725,в69в4236
г. Москва, ул. Адмирала Макарова, д. 19, к. 2;1;;в93в4159
г. Москва, ул. Адмирала Макарова, д. 19, к. 2;2;;в113в1262
г. Москва, ул. Адмирала Макарова, д. 19, к. 2;3;в141в2372;
г. Москва, ул. Адмирала Макарова, д. 21;1;;в17в4667,в10в3963,в3в2618,б2727,12в8473
г. Москва, ул. Адмирала Макарова, д. 21;2;;к41к1953,36 в,411953,36,38в, 41 1953,з41з1953,411953
г. Москва, ул. Адмирала Макарова, д. 21;3;;в52в1462,в48в9728,в56в6752,в61в0201
г. Москва, ул. Адмирала Макарова, д. 21;4;;в59в6852,в77в5353
г. Москва, ул. Адмирала Макарова, д. 3;1;;в19в8959,в18в9245,в3в1645,в13в5363
г. Москва, ул. Адмирала Макарова, д. 3;2;;в33в6179,в39в4138
