Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, б-р. Ходынский, д. 13;1;;50,40в
г. Москва, б-р. Ходынский, д. 15;1;;25в,50 в
г. Москва, б-р. Ходынский, д. 15;2;;75в,101в
г. Москва, б-р. Ходынский, д. 15;9;;222в
г. Москва, б-р. Ходынский, д. 15;10;;222в
г. Москва, б-р. Ходынский, д. 17;1;;4в,4 в,17в
г. Москва, б-р. Ходынский, д. 17;10;;5в,1020
г. Москва, б-р. Ходынский, д. 19;2;;45 в
г. Москва, б-р. Ходынский, д. 19;8;;165в
г. Москва, б-р. Ходынский, д. 5, к. 1;1;;24к5050,200,62к 3556
г. Москва, б-р. Ходынский, д. 5, к. 3;1;;117 в
г. Москва, б-р. Ходынский, д. 5, к. 4;1;;37 в,94в
г. Москва, б-р. Ходынский, д. 9;3;;81в,170в
г. Москва, пер. Магистральный, д. 5;1;;7к8432,10к1308,6к0377,1к5762,6к0377,3к6846,8к4546
г. Москва, пер. Магистральный, д. 5;2;;20к1727,15к0270,17к9607
г. Москва, пер. Магистральный, д. 5;3;;223в,0,24к5596,24к5596,25к5435,27к9865,28к843,22к0810
г. Москва, пер. Магистральный, д. 5А;1;;255к2003
г. Москва, пер. Магистральный, д. 5А;2;;255к20003
г. Москва, пер. Магистральный, д. 5А;3;;255к2003
г. Москва, пер. Магистральный, д. 7, к. 1;1;;255к2003,255к2003
г. Москва, пер. Магистральный, д. 7, к. 1;2;;255к2003,255к2003,255к2003,255к2003
г. Москва, пер. Магистральный, д. 7, к. 2;2;;255к2003,255 2003
г. Москва, пер. Чапаевский, д. 12, к. 1;1;;7к4772
г. Москва, пер. Чапаевский, д. 12, к. 1;2;;21к5879,168к9568,28к0064,50к5031
г. Москва, пер. Чапаевский, д. 12, к. 1;3;;к40к1158
г. Москва, пер. Чапаевский, д. 12, к. 2;3;;429035
г. Москва, пер. Чапаевский, д. 16;1;;20 в
г. Москва, пер. Чапаевский, д. 16;2;;31к2524,48к3265
г. Москва, пер. Чапаевский, д. 18/1;1;;15к0577
г. Москва, пер. Чапаевский, д. 18/1;2;;27к0227
г. Москва, пер. Чапаевский, д. 18/1;3;;49к3617,44к0167
г. Москва, пер. Чапаевский, д. 18/1;4;;58к1225
г. Москва, пер. Чапаевский, д. 18/1;5;100к2564;
г. Москва, пер. Чапаевский, д. 18/1;6;;90к1244
г. Москва, пер. Чапаевский, д. 5, к. 1;1;;к46к2009,23к8621,22к1847,21,к200к0083,40к4218,255к0001,26к1169,90 к1518,53-5957,64,89к0191,92к4686,в110в0173
г. Москва, пер. Чапаевский, д. 5, к. 1;2;;к207к5841,к119к0632,к120к0275,к121к6291,к123к2724,к124к2552,к130к3446,к132к1440,к157к5403,к162к2945,в165в4024,к174к1754,к179к1733,к1806881,в181в7301,к182к2842,к186к2030,к187к7994,в199,в212в6997,к213к5779
г. Москва, пер. Чапаевский, д. 5, к. 2;1;;20к9063,253к3708
г. Москва, пер. Чапаевский, д. 5, к. 2;2;;3129760,251*5826,316*8837
г. Москва, пер. Чапаевский, д. 8;1;;100к5778,16к3064,5к8878,19к6087
г. Москва, пер. Чапаевский, д. 8;2;;26к0728
г. Москва, пр-кт. Ленинградский, д. 1;1;;113к7032
