Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пер. Петра Алексеева 1-й, д. 2;1;;22к4057
г. Москва, пер. Петра Алексеева 1-й, д. 2;2;;22к4057
г. Москва, пер. Петра Алексеева 1-й, д. 5;1;;13к8681
г. Москва, пер. Петра Алексеева 2-й, д. 1;1;;10 в 1772,7к8956,9к250
г. Москва, пер. Петра Алексеева 2-й, д. 1;3;;33к0252,37к9228
г. Москва, пер. Петра Алексеева 2-й, д. 1;4;;48к2812,37к9484,40к6668
г. Москва, пер. Петра Алексеева 2-й, д. 1;5;;51к2044,51 к 2044
г. Москва, проезд. Загорского, д. 5;1;;с17к3369
г. Москва, ул. Багрицкого, д. 10, к. 1;1;2846;
г. Москва, ул. Багрицкого, д. 10, к. 2;4;;118к1658
г. Москва, ул. Багрицкого, д. 16, к. 1;1;21К5557;
г. Москва, ул. Багрицкого, д. 16, к. 1;2;;32к2735
г. Москва, ул. Багрицкого, д. 16, к. 2;1;9р9236;
г. Москва, ул. Багрицкого, д. 16, к. 2;3;;61в,60в
г. Москва, ул. Багрицкого, д. 22;1;37К1234;б6б2306,в3в7469,в33в7676,b32b8175
г. Москва, ул. Багрицкого, д. 22;3;;78в,в98в1697
г. Москва, ул. Багрицкого, д. 22;4;;в126в5815,в127в0624,в128в2526
г. Москва, ул. Багрицкого, д. 22;5;;в157в3724,159 в
г. Москва, ул. Багрицкого, д. 24, к. 1;1;99К1234;в89в6495,в88в2135,в77в3017,16в,в19в7674
г. Москва, ул. Багрицкого, д. 24, к. 2;1;10к2525;178к1774,10к2525,10 2525,10к2525,180к1661,10 к 2525,10к2525,114 к 1666
г. Москва, ул. Багрицкого, д. 26;1;10к8700;10к8700,19к6908
г. Москва, ул. Багрицкого, д. 26;2;36к8460;36к8460,36к8460
г. Москва, ул. Багрицкого, д. 28;1;;20к7627,19к8907,15к4027
г. Москва, ул. Багрицкого, д. 28;2;28к2267;28к2267,27к1499,34к9707
г. Москва, ул. Багрицкого, д. 28;3;51к0459;51к0459,60к1739
г. Москва, ул. Багрицкого, д. 3, к. 1;1;;10 к 2124
г. Москва, ул. Багрицкого, д. 3, к. 1;3;;80к9452,95к5084
г. Москва, ул. Багрицкого, д. 3, к. 1;4;;112к0102,113к7429
г. Москва, ул. Багрицкого, д. 3, к. 1;5;;143к0178,141к7983
г. Москва, ул. Багрицкого, д. 3, к. 1;7;;211к6948,205к6513,215к8068,214к8922
г. Москва, ул. Багрицкого, д. 3, к. 1;10;;100к1234
г. Москва, ул. Багрицкого, д. 30;1;1к5353;11к2793,1к5353,19к8937
г. Москва, ул. Багрицкого, д. 30;2;30к3030;30 к 3030
