Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, ул. Дмитриевского, д. 11;1;;1,1111111,3402
г. Москва, ул. Дмитриевского, д. 11;2;;в89в6211,45в
г. Москва, ул. Дмитриевского, д. 11;3;;1,0504
г. Москва, ул. Дмитриевского, д. 11;4;;176в,в189в1112
г. Москва, ул. Оренбургская, д. 13, к. 2;2;72 В;
г. Москва, ул. Салтыковская, д. 11, к. 1;1;;24к2402,111
г. Москва, ул. Салтыковская, д. 11, к. 1;2;;5438
г. Москва, ул. Салтыковская, д. 11, к. 1;3;;50 в,64 в,57в
г. Москва, ул. Салтыковская, д. 11, к. 1;4;;82в,77в
г. Москва, ул. Салтыковская, д. 11, к. 1;5;;111*7999,111к7999,91к5688,111к7999,104к
г. Москва, ул. Салтыковская, д. 11, к. 1;6;;114в,1
г. Москва, ул. Салтыковская, д. 11, к. 1;7;;149в
г. Москва, ул. Салтыковская, д. 11, к. 1;8;;180в,91,91и 
г. Москва, ул. Салтыковская, д. 11, к. 1;9;;204в,210,207в
г. Москва, ул. Салтыковская, д. 11, к. 2;4;;54в,57в,2010в
г. Москва, ул. Салтыковская, д. 11, к. 2;5;;с89в,78 в
г. Москва, ул. Салтыковская, д. 11, к. 2;6;;98,095
г. Москва, ул. Салтыковская, д. 15, к. 1;1;;30к8560,26к6504,2к3794 ,16к6482,65к8477,14 в,68к4951,34к2161,6к7500
г. Москва, ул. Салтыковская, д. 15, к. 1;2;;120к3890,123в,1к2580,106к3573,132к5235,93к7778,1 к 2580
г. Москва, ул. Салтыковская, д. 15, к. 2;1;;23к0585,5к3530,37к8444,62к0793,56к9093
г. Москва, ул. Салтыковская, д. 15, к. 2;2;;79к7041,98к8715,1к2580,8074,110к7668,63-6320,117в8981,110к7668
г. Москва, ул. Салтыковская, д. 15, к. 3;1;;14в,35в,24в,16в,в74в4367,5в,14в,19в,37в,6в
г. Москва, ул. Салтыковская, д. 15, к. 3;2;;110в,120в,88в,109в,84в,109в ,83в,78в
г. Москва, ул. Салтыковская, д. 21;1;в15в1949;081,в15в1949,5
г. Москва, ул. Салтыковская, д. 21;2;;94р220,087*,069#731,114#197,107#030,86,94 # 220,73,102 #.171,075#279,135р198,102р171,94#220,102#171,94#220,106р251,106#251,95
г. Москва, ул. Салтыковская, д. 23, к. 1;1;в45в6480;в45в6480в,в41в1284в,в4в3664в,в5в0546в,20 в,в9в7132в,46 в,59в,в18в1620в
г. Москва, ул. Салтыковская, д. 23, к. 1;2;в116в3230;в116в3230,к82к5888,131в,в88в8250,в96в0292,в102в0507,93 в
г. Москва, ул. Салтыковская, д. 23, к. 2;1;в43в4053,в44в9401в;11,в4в3664,в62в7184в,в21в1321в,29в,в34в8280в,11в,в7в4542
г. Москва, ул. Салтыковская, д. 23, к. 2;2;;129в,c075,078к123,077к1234,125к6474,101к196
г. Москва, ул. Салтыковская, д. 29, к. 1;1;;2901,3682,3268,039,1,34в
г. Москва, ул. Салтыковская, д. 29, к. 1;2;;в66в7586в,98в,в87в2409в,95
г. Москва, ул. Салтыковская, д. 29, к. 1;3;;7к2580,7*2580,7 * 2580,7к2580,*72580
г. Москва, ул. Салтыковская, д. 29, к. 1;4;;в205в0699в,в185в9551в,в192в5807в,в203в4063,в214в2319в,в184в8638в
г. Москва, ул. Салтыковская, д. 29, к. 1;5;;в225в4796в,в233в6039,в233в6039в,в229в3831в
г. Москва, ул. Салтыковская, д. 29, к. 1;6;;292 в.
г. Москва, ул. Салтыковская, д. 29, к. 2;1;в22в0320;в15в9363в,в22в0320в,013 в,в3в2929в
г. Москва, ул. Салтыковская, д. 29, к. 2;2;;090,019,1234
г. Москва, ул. Салтыковская, д. 29, к. 3;1;;в16в8434,в20в4114,в23в7457,в23в7457,в18в8857,в50в6559,в14в3172
г. Москва, ул. Салтыковская, д. 29, к. 3;2;;80в,79в
г. Москва, ул. Салтыковская, д. 3/17;1;;с 6 в
г. Москва, ул. Салтыковская, д. 3/17;2;;27 в
г. Москва, ул. Салтыковская, д. 3/17;3;;82343032,82
г. Москва, ул. Салтыковская, д. 3/17;4;;с 50 в
г. Москва, ул. Салтыковская, д. 33, к. 1;1;;3 #.7437,35 # 9557,26#5297,49в
г. Москва, ул. Салтыковская, д. 33, к. 1;2;;55к6131,55к6131,66к7251
г. Москва, ул. Салтыковская, д. 33, к. 1;3;;в7в3233,143 к 1964,в7в3233,137к5853,143к1964,157к0196
г. Москва, ул. Салтыковская, д. 33, к. 1;4;;130к130,в211в2378,202в2920,179в9696
г. Москва, ул. Салтыковская, д. 33, к. 3;1;;19в,в35в3219в,5 в,в8в3455в,19в
г. Москва, ул. Салтыковская, д. 33, к. 3;2;;63,в87в3743
г. Москва, ул. Салтыковская, д. 37, к. 1;1;;в20в7781в,в 88в 2253в,в13в5901в,в17в6395в,в53в1447в
г. Москва, ул. Салтыковская, д. 37, к. 1;2;;в105в1337,в66в6083,в66в6083
г. Москва, ул. Салтыковская, д. 37, к. 1;3;;в125в1500в,142в,117в,в149в2516в,в085в0110,в117в4117,204в
г. Москва, ул. Салтыковская, д. 37, к. 1;4;;в204в5932
г. Москва, ул. Салтыковская, д. 37, к. 2;1;;в12в6393в,48в,в3в0531в,47в,в22в7736в,3/в3в0531в
г. Москва, ул. Салтыковская, д. 37, к. 2;2;;109в,в066в6083в
г. Москва, ул. Салтыковская, д. 37, к. 3;1;;50 в
г. Москва, ул. Салтыковская, д. 37, к. 3;2;;81в,80в
г. Москва, ул. Салтыковская, д. 39;1;; в 36 в 3093,в36в3093, 9876в,8в,53 в,в36в3093в,33в,4в
г. Москва, ул. Салтыковская, д. 39;2;;в107в3233в,в72в4641в,в 107 в 3233 в,75в,в 83 в 5494 в,в 72 в 4641 в,в121в7179
г. Москва, ул. Салтыковская, д. 41;1;;68 в,55в,49 в
г. Москва, ул. Салтыковская, д. 41;2;;1к2580,1к2580
г. Москва, ул. Салтыковская, д. 43;1;;24к,69,69 
г. Москва, ул. Салтыковская, д. 43;2;;135 в,85,69к2332
г. Москва, ул. Салтыковская, д. 5, к. 1;1;;с13в
г. Москва, ул. Салтыковская, д. 5, к. 1;2;;25в,21в
г. Москва, ул. Салтыковская, д. 5, к. 1;3;;в46в824в,36в,53
г. Москва, ул. Салтыковская, д. 5, к. 1;5;;7272
г. Москва, ул. Салтыковская, д. 5, к. 2;2;; в16в6507в,в18в3657в,в16в6507в,в30,27 в 
г. Москва, ул. Салтыковская, д. 5, к. 2;3;;в50в5071,в50в5071в
г. Москва, ул. Салтыковская, д. 5, к. 2;4;;63в,55в
г. Москва, ул. Салтыковская, д. 5, к. 2;5;;82в,67в
г. Москва, ул. Салтыковская, д. 5, к. 2;6;;98 в 
г. Москва, ул. Салтыковская, д. 5, к. 2;9;;149в,133
г. Москва, ул. Салтыковская, д. 5, к. 2;10;;161#5576,167в
г. Москва, ул. Салтыковская, д. 7, к. 1;1;;1,в7в4844
г. Москва, ул. Салтыковская, д. 7, к. 1;2;;в44в2833в,25,26в,36 в,34 в
г. Москва, ул. Салтыковская, д. 7, к. 1;3;;69 в,54 в
г. Москва, ул. Салтыковская, д. 7, к. 1;4;;78в,в70в2211в
г. Москва, ул. Салтыковская, д. 7, к. 1;5;;в98в7061в,102в,в96 в 1786 в,в103в8192в
г. Москва, ул. Салтыковская, д. 7, к. 1;6;в133в0162в;в133в0162в
г. Москва, ул. Салтыковская, д. 7, к. 1;7;;158 в,в141в3105в
г. Москва, ул. Салтыковская, д. 7, к. 1;8;;к185к2579,166,167в
г. Москва, ул. Салтыковская, д. 7, к. 1;9;;288
г. Москва, ул. Салтыковская, д. 7, к. 2;1;;66,116в6007
г. Москва, ул. Салтыковская, д. 7, к. 2;2;;046з
г. Москва, ул. Салтыковская, д. 7, к. 2;4;;69 в.,62к7144
г. Москва, ул. Салтыковская, д. 7, к. 2;5;;93 в
г. Москва, ул. Салтыковская, д. 7, к. 3;1;;14в,09999в,9 в
г. Москва, ул. Салтыковская, д. 7, к. 3;2;;к35к3399,37,37 к/38
г. Москва, ул. Салтыковская, д. 7, к. 3;3;;50в,*58в
