Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, проезд. Добролюбова, д. 5;1;;501,в6в7067
г. Москва, проезд. Добролюбова, д. 5;2;;39в,9764
г. Москва, проезд. Добролюбова, д. 5А;1;;5033
г. Москва, проезд. Добролюбова, д. 5А;2;;5033
г. Москва, проезд. Добролюбова, д. 5А;3;;5033
г. Москва, проезд. Добролюбова, д. 7;1;;в 4 в 7377
г. Москва, проезд. Добролюбова, д. 7;2;;702,25 в,в28в6376,в6в5772
г. Москва, проезд. Огородный, д. 17;1;;19в,17в,с7в
г. Москва, проезд. Огородный, д. 17;2;;9999в6807
г. Москва, проезд. Огородный, д. 19;1;;5 в,23в,22 в,20в,с2в
г. Москва, проезд. Огородный, д. 21;2;;42к,42в
г. Москва, проезд. Огородный, д. 23;1;;21 к 2882,30к0619
г. Москва, ул. Бутырская, д. 11;1;;в31в 8482 в,в38в3330в,в59,в5в7118в,72в,в81в7774в,в24в7491в,18в,76к,60в,в17в4084в,в205в0846,в20в4487в,в60в5933в
г. Москва, ул. Бутырская, д. 11;2;;144к9598,135к1814,132к2922,144 к 9598,147#1895,141 к 9152
г. Москва, ул. Бутырская, д. 11;3;;в231в9385,в244 в 8553,в205в0846,188в,184в,в248в1595, b250b2444,в258в3527,б 205 б 0846,в235в8921
г. Москва, ул. Бутырская, д. 15;1;;214,в25
г. Москва, ул. Бутырская, д. 15;2;;в180,123,169в
г. Москва, ул. Бутырская, д. 15;3;;189 в ,201в,240в,189в
г. Москва, ул. Бутырская, д. 17А;2;;36в ,3958
г. Москва, ул. Бутырская, д. 17А;3;;42к3118
г. Москва, ул. Бутырская, д. 19;1;;с18в
г. Москва, ул. Бутырская, д. 19;2;;с33в
г. Москва, ул. Бутырская, д. 19;3;;6886
г. Москва, ул. Бутырская, д. 21;1;;123/35,162,09,162/10в,621,126,126 19в,126,33 ,126, 35в,126 37в,162 к40,41 ,126 - 48в,126,97в,126 64,126-66в,126/14в,126 79,126 82,126в84,12686
г. Москва, ул. Бутырская, д. 21;2;;92 в,108в,111в
г. Москва, ул. Бутырская, д. 21;3;;181 в,261
г. Москва, ул. Бутырская, д. 3;1;;1#1844
г. Москва, ул. Бутырская, д. 3;2;;67в6022,37в6825,50в4583
г. Москва, ул. Бутырская, д. 3;3;;61в3657,73в4489,57в1956,76в7355,44в1118
г. Москва, ул. Бутырская, д. 3;4;;7201,64к3533
г. Москва, ул. Бутырская, д. 5;1;;29#,31 в ,25в
г. Москва, ул. Бутырская, д. 5;2;;55в8963,61в2407,3в9873,34в4453,42в5446,41в2942,58в3959,56в9433,38в7236,36в7415
г. Москва, ул. Бутырская, д. 53, к. 1;1;;в18в7306
г. Москва, ул. Бутырская, д. 53, к. 1;2;;39в,0253 56в,52в,54в
г. Москва, ул. Бутырская, д. 53, к. 1;3;;1к0353,86к1157,1к0353
г. Москва, ул. Бутырская, д. 6;3;;20,51,50р451
г. Москва, ул. Бутырская, д. 6;6;;146в
г. Москва, ул. Бутырская, д. 6;7;;169в
г. Москва, ул. Бутырская, д. 6;8;;205 к 7446,205к7446
г. Москва, ул. Бутырская, д. 65/68;1;;5216,5209,5630,1745,8037
г. Москва, ул. Бутырская, д. 65/68;2;;31к1661
г. Москва, ул. Бутырская, д. 65/68;3;;066,067,к4230,в65,080,064в
г. Москва, ул. Бутырская, д. 65/68;4;;83в,6127
г. Москва, ул. Бутырская, д. 7;1;;99998932
г. Москва, ул. Бутырская, д. 7;2;;34в,с4040в
г. Москва, ул. Бутырская, д. 7;3;;88в,66в,65#5582
г. Москва, ул. Бутырская, д. 7;4;;115 в,127в,122в
г. Москва, ул. Бутырская, д. 86;2;;в18в6364в
г. Москва, ул. Бутырская, д. 86;3;;3105
г. Москва, ул. Бутырская, д. 86;4;;40в,в38
г. Москва, ул. Бутырская, д. 86А;1;;13#357
г. Москва, ул. Бутырская, д. 86А;3;;2746
г. Москва, ул. Бутырская, д. 86А;4;;3105
г. Москва, ул. Бутырская, д. 89;1;;06в,с22в,03в,58в/ ,9191,к63,с59в
г. Москва, ул. Бутырская, д. 89;2;;25в5253
г. Москва, ул. Бутырская, д. 89, к. 2;3;;43в9271
г. Москва, ул. Бутырская, д. 89, к. 2;4;;442600,80в3482
г. Москва, ул. Бутырская, д. 91;1;9876В;91к91,1234,9191,73 в,в75в6969
г. Москва, ул. Бутырская, д. 91;2;;в75в6969
г. Москва, ул. Бутырская, д. 93;1;;15в,58в,18в
г. Москва, ул. Бутырская, д. 95;1;;51к7506,5к2007,30к2474,23к3759,17к0634,60к0641,34к7144,17к3112,54к6513,44к8813,27к7912,10к8268,63к8608,19к8158
г. Москва, ул. Бутырская, д. 97;1;;27к9792,34к9258,20к6111
г. Москва, ул. Бутырская, д. 97;2;;57к9774,43к8989
г. Москва, ул. Бутырская, д. 97;3;;48к6069
г. Москва, ул. Бутырская, д. 97;4;;в6151
г. Москва, ул. Бутырская, д. 97;6;;382к7699,354к4384,354,356,359к7192,364,365,371к9158,375,378к9846,381к1652,353
г. Москва, ул. Гончарова, д. 1/6;1;;в7в4102
г. Москва, ул. Гончарова, д. 13;1;;в9999в0731
г. Москва, ул. Гончарова, д. 13, к. 1;1;;72к377,68к068,76к579,81к777,037,56к457,27к939,58 ,79к387,018к977,2к372
г. Москва, ул. Гончарова, д. 13Б;1;;100 к 1111
г. Москва, ул. Гончарова, д. 13Б;3;;100к1111
