Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, аллея. Яузская, д. 4;1;;в3в8766в,в1в2704в
г. Москва, аллея. Яузская, д. 4;2;;9876 в ,9876в,9876
г. Москва, аллея. Яузская, д. 4;3;;9876
г. Москва, аллея. Яузская, д. 4;4;;2511
г. Москва, аллея. Яузская, д. 6;1;;9876в ,9876 в,9876в
г. Москва, аллея. Яузская, д. 6;3;;9876в,52в
г. Москва, б-р. Маршала Рокоссовского, д. 1, к. 1;1;;3#672
г. Москва, б-р. Маршала Рокоссовского, д. 1, к. 1;3;;с53в8675 
г. Москва, б-р. Маршала Рокоссовского, д. 10;1;44в8516;44в8516
г. Москва, б-р. Маршала Рокоссовского, д. 10;2;26в4498;26в4498
г. Москва, б-р. Маршала Рокоссовского, д. 10;3;;58в8277,60в4370,59в0896,к38в77,53в2582,50в9605,41в1483
г. Москва, б-р. Маршала Рокоссовского, д. 11;1;;13#485,д11,9р253
г. Москва, б-р. Маршала Рокоссовского, д. 11;2;;36р725,37р842,33р841
г. Москва, б-р. Маршала Рокоссовского, д. 11;3;;57в9086,48в5447,51в9308
г. Москва, б-р. Маршала Рокоссовского, д. 11;4;;62в5707,65в0817,
г. Москва, б-р. Маршала Рокоссовского, д. 12;1;;в20в2943,8в,9в0173,10в0505,8в0931,8в 0931,13в0364
г. Москва, б-р. Маршала Рокоссовского, д. 12;2;;56в,32*352,60#171
г. Москва, б-р. Маршала Рокоссовского, д. 12;3;;50#195,42#256,41#148
г. Москва, б-р. Маршала Рокоссовского, д. 12;4;;63#330,77#001,62#484,79#119,80#282
г. Москва, б-р. Маршала Рокоссовского, д. 13;1;;65к3161,2к4251,48к5806,18к2524,64к3103,16к9198,34к0960,34к0960,41в,56к2574
г. Москва, б-р. Маршала Рокоссовского, д. 14;1;;3#484,20#257,*1#137
г. Москва, б-р. Маршала Рокоссовского, д. 14;2;37#305;37#305
г. Москва, б-р. Маршала Рокоссовского, д. 14;3;;52*867,52 # 867, 52#867
г. Москва, б-р. Маршала Рокоссовского, д. 17;1;;43к1726,44к6063,53к9276,71к9069,12к3638,30к7732
г. Москва, б-р. Маршала Рокоссовского, д. 18;1;4#176;4#176
г. Москва, б-р. Маршала Рокоссовского, д. 18;2;31#369;31#369
г. Москва, б-р. Маршала Рокоссовского, д. 18;3;;44#758
г. Москва, б-р. Маршала Рокоссовского, д. 19/16;1;12в5311;12в5311
г. Москва, б-р. Маршала Рокоссовского, д. 19/16;2;;33,29#655
г. Москва, б-р. Маршала Рокоссовского, д. 19/16;3;41#136;41#136
г. Москва, б-р. Маршала Рокоссовского, д. 19/16;4;63#127;63#127
г. Москва, б-р. Маршала Рокоссовского, д. 2/3;1;;16р746
г. Москва, б-р. Маршала Рокоссовского, д. 2/3;2;;36в7872,30в0632,34в1593,23в 2072,27в9554,39в6650
г. Москва, б-р. Маршала Рокоссовского, д. 2/3;3;60в3475;60в3475
г. Москва, б-р. Маршала Рокоссовского, д. 20/18;1;;15р946,*12к947,16р631
г. Москва, б-р. Маршала Рокоссовского, д. 20/18;2;41#123;41#123
г. Москва, б-р. Маршала Рокоссовского, д. 20/18;3;;59р357,56#822
г. Москва, б-р. Маршала Рокоссовского, д. 20/18;4;65#573;65р573
г. Москва, б-р. Маршала Рокоссовского, д. 21/21;1;;4404
г. Москва, б-р. Маршала Рокоссовского, д. 21/21;2;;48к3054
г. Москва, б-р. Маршала Рокоссовского, д. 21/21;3;;76к3161
г. Москва, б-р. Маршала Рокоссовского, д. 22/23;3;;39в+#
г. Москва, б-р. Маршала Рокоссовского, д. 22/23;4;;48#615
г. Москва, б-р. Маршала Рокоссовского, д. 23;1;;1234
г. Москва, б-р. Маршала Рокоссовского, д. 23;2;;1234
г. Москва, б-р. Маршала Рокоссовского, д. 23;3;1502;1502
г. Москва, б-р. Маршала Рокоссовского, д. 23;4;B80B2550B;b80b2550b
г. Москва, б-р. Маршала Рокоссовского, д. 23;5;;4321
г. Москва, б-р. Маршала Рокоссовского, д. 23;6;;1234
г. Москва, б-р. Маршала Рокоссовского, д. 23;7;121K0120;121k0120
г. Москва, б-р. Маршала Рокоссовского, д. 23;8;047*2260;047*2260
г. Москва, б-р. Маршала Рокоссовского, д. 23;9;177*3257;177*3257
г. Москва, б-р. Маршала Рокоссовского, д. 25;1;9999В7378;9999в7378
г. Москва, б-р. Маршала Рокоссовского, д. 25;2;319818;319818
г. Москва, б-р. Маршала Рокоссовского, д. 25;3;25#253;25#253
г. Москва, б-р. Маршала Рокоссовского, д. 25;4;67#697;67#697
г. Москва, б-р. Маршала Рокоссовского, д. 27/20;1;;1#416,10р493,11#.555,12#825,16#475
г. Москва, б-р. Маршала Рокоссовского, д. 27/20;2;;2720
г. Москва, б-р. Маршала Рокоссовского, д. 28/14;1;;45#422,43р464
г. Москва, б-р. Маршала Рокоссовского, д. 28/14;3;;44#508,55#193,55р193
г. Москва, б-р. Маршала Рокоссовского, д. 29/13;1;;р652
г. Москва, б-р. Маршала Рокоссовского, д. 29/13;2;;62#574,55#926,45#731,39#413
