Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пер. Колодезный, д. 2, к. 1;3;#4837;
г. Москва, пер. Колодезный, д. 2, к. 2;4;;72#2131
г. Москва, пер. Колодезный, д. 2, к. 2;5;;#1314
г. Москва, пер. Колодезный, д. 2, к. 2;6;;#2452,2452,71#9434,81р7853,80р4175,72р2131,64р0614
г. Москва, пер. Колодезный, д. 2, к. 2;7;;87#9511
г. Москва, пер. Колодезный, д. 2, к. 2;8;;100р1185,100#1185,55р5555
г. Москва, пер. Матросский Б., д. 1;1;;17к7574,31к6303
г. Москва, пер. Матросский Б., д. 1;2;;к 423
г. Москва, пер. Матросский Б., д. 1;3;;к423,66,4к23
г. Москва, пер. Матросский Б., д. 1;4;;09к2323,121к2737,116к9063,107к2791,124к5173,119к8181,111к2883,9к2323
г. Москва, пер. Матросский Б., д. 1;5;;160к024
г. Москва, пер. Матросский Б., д. 1;6;;209р997,224р789,196#633,218р468
г. Москва, пер. Матросский Б., д. 1;7;;227в,087
г. Москва, пер. Матросский Б., д. 1;8;;295к1437,315к6570,6526,313в,305к7529
г. Москва, пер. Песочный, д. 3;7;;#145
г. Москва, пер. Песочный, д. 3;9;;114 #. 087,114р087,114 # 087
г. Москва, пер. Песочный, д. 3;13;;156 к 1758,156к1758,161к 5544
г. Москва, пер. Полевой 2-й, д. 2, к. 3;1;;13 к 7488
г. Москва, пер. Полевой 2-й, д. 4;1;;35в,15в237,в15в7442/237
г. Москва, пер. Старослободский, д. 2;1;;#1826,#1826
г. Москва, пер. Старослободский, д. 4, к. А;1;;004,003,011
г. Москва, пер. Старослободский, д. 4, к. А;2;;45к9595,154,157,164в
г. Москва, пер. Старослободский, д. 6;1;;#4698,*4698
г. Москва, пер. Старослободский, д. 6;2;;к145
г. Москва, проезд. Попов, д. 4;1;;9в,35в
г. Москва, проезд. Попов, д. 4;7;;323в
г. Москва, проезд. Попов, д. 4;8;;404 в,404в
г. Москва, ул. Барболина, д. 4;2;46#831;
г. Москва, ул. Барболина, д. 8;1;;22к0323,60к9110,85в,58к1194,69к8136
г. Москва, ул. Боевская 1-я, д. 1, к. 2;1;;3к1133
г. Москва, ул. Боевская 2-я, д. 6;1;;0р 973
г. Москва, ул. Гастелло, д. 10;1;;к741,6к166,4к109,23в633,95к982
г. Москва, ул. Гастелло, д. 12;1;;18к782,6,58,058к841,37к522,44,037к522,7к455,68к914,023к135,038к972
г. Москва, ул. Гастелло, д. 14;1;;17#359,73*,18р339,31#556,44#553,24,71
г. Москва, ул. Гастелло, д. 37;1;;1р3455
г. Москва, ул. Гастелло, д. 37;2;;72р758
г. Москва, ул. Гастелло, д. 37;3;;104#279,108 # 123,р741,100р067,104р279,079#749
г. Москва, ул. Гастелло, д. 37;4;;124к947,111к918,140к165,125к555,134к889,115к701,138к981,108 к 108
г. Москва, ул. Гастелло, д. 37;5;;167к518
г. Москва, ул. Гастелло, д. 37;6;;195к1386,186к4616,1916211,190к6442
г. Москва, ул. Гастелло, д. 39;1;;021,к973,012к390,013к030,999к999
г. Москва, ул. Гастелло, д. 39;2;;38#936,33#166,55#461
г. Москва, ул. Гастелло, д. 39;3;;077,083,060в,066,076,080
г. Москва, ул. Гастелло, д. 39;4;;087,100,097,к973,084
г. Москва, ул. Гастелло, д. 39;5;;132к207,123к390,131к276,777,130к484,116в,136к276
г. Москва, ул. Гастелло, д. 39;6;;159#776,157к339,156р359,142 ,158р298,143#558,166#384,140#207
