Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, б-р. Гоголевский, д. 27;1;;4к5183,4к5183
г. Москва, б-р. Гоголевский, д. 27;3;;45в,46в,43в
г. Москва, б-р. Гоголевский, д. 29;1;;к2902,к2903
г. Москва, б-р. Гоголевский, д. 29;2;;к2902з,2902
г. Москва, б-р. Гоголевский, д. 33/1;1;;6*1111
г. Москва, б-р. Гоголевский, д. 8;1;;100к1932
г. Москва, б-р. Никитский, д. 12;1;;27в,4
г. Москва, б-р. Никитский, д. 25;4;;34к3250
г. Москва, б-р. Никитский, д. 8;1;;30к5182
г. Москва, б-р. Никитский, д. 8;2;;18 в
г. Москва, б-р. Никитский, д. 9;1;;9к4291
г. Москва, б-р. Новинский, д. 1/2;1;;44к7897
г. Москва, б-р. Новинский, д. 1/2;2;;54к4505,51в,58к3116,67к6420,73в9298,38
г. Москва, б-р. Новинский, д. 1/2;3;;86к3781,85к7387,80к5353,83к3671
г. Москва, б-р. Новинский, д. 12;1;;в017в0791,в16в9586,16,в16
г. Москва, б-р. Новинский, д. 12;2;;в17в0501,в17в0501,в19в0708,к40к3033,23 
г. Москва, б-р. Новинский, д. 12;3;;к40к3033,33в3253,к32к6826,32,29з
г. Москва, б-р. Новинский, д. 12;4;;044,050,049,045,043,041
г. Москва, б-р. Новинский, д. 13, стр. 6;2;;32к7473
г. Москва, б-р. Новинский, д. 13, стр. 6;3;;7171
г. Москва, б-р. Новинский, д. 14;1;;041,22.,40к,012в,007,012.,10,013к,038,6,25 ,8
г. Москва, б-р. Новинский, д. 15;1;;255к1641,255к1641,2551641
г. Москва, б-р. Новинский, д. 16А;1;;8в6852
г. Москва, б-р. Новинский, д. 18, стр. 1;2;;049к
г. Москва, б-р. Новинский, д. 18, стр. 1;3;;59к9341
г. Москва, б-р. Новинский, д. 18, стр. 1;7;;#423
г. Москва, б-р. Новинский, д. 18, стр. 1;8;;к247
г. Москва, б-р. Новинский, д. 18А;1;;"63 .10,970, 6,36,79, 7,1д.970,97, 15,63.....8,097и14,970,12,79,9;69,1,79,11"
г. Москва, б-р. Новинский, д. 25, к. 10;1;;1к7206
г. Москва, б-р. Новинский, д. 25, к. 10;3;;77,45а
г. Москва, б-р. Новинский, д. 28/35, стр. 1;1;;2#126
г. Москва, б-р. Новинский, д. 28/35, стр. 1;2;;9к4228,15к3616,9к4228,17к6822,9+4228,21к1698
г. Москва, б-р. Новинский, д. 28/35, стр. 1;3;;1559
г. Москва, б-р. Новинский, д. 28/35, стр. 1;4;;43к2175,45в
г. Москва, б-р. Новинский, д. 28/35, стр. 1;5;;53в.,50в.,056
г. Москва, б-р. Новинский, д. 7, стр. 1;1;;1к7883,20в
г. Москва, б-р. Новинский, д. 7, стр. 1;2;;27 к 3953
г. Москва, б-р. Новинский, д. 7, стр. 1;3;;39в3789
г. Москва, б-р. Новинский, д. 7, стр. 1;4;;52к5003
г. Москва, б-р. Смоленский, д. 15;1;;4к1191
г. Москва, б-р. Смоленский, д. 15;2;;26в,13в,в11в5410,4в,в13,28в
г. Москва, б-р. Смоленский, д. 15;3;;в29в3223в
г. Москва, б-р. Смоленский, д. 17, стр. 1;2;;6 8 10 ,135 
г. Москва, б-р. Смоленский, д. 7;1;;14к1188,14к1188
г. Москва, б-р. Смоленский, д. 7;3;;69р1234
г. Москва, б-р. Смоленский, д. 7;4;;9876в,59,65
г. Москва, наб. Смоленская, д. 2;2;;37в,32
г. Москва, наб. Смоленская, д. 2;3;;38,48,43
г. Москва, наб. Смоленская, д. 5/13;2;;9999
г. Москва, пер. Афанасьевский Б., д. 17/7;3;;31к1653,30 к 2808
г. Москва, пер. Афанасьевский Б., д. 31;1;;100к6393,10к7298
г. Москва, пер. Афанасьевский Б., д. 39;1;;12к1823,12 к 1823
г. Москва, пер. Афанасьевский Б., д. 5;1;;9к2575
г. Москва, пер. Афанасьевский Б., д. 5;5;;55в,в67в3538
г. Москва, пер. Борисоглебский, д. 12;1;;4509,11
г. Москва, пер. Девятинский Б., д. 3;1;;5к7626,5в,4к4267
г. Москва, пер. Девятинский Б., д. 4;2;;158,38к9660,158 ,156
г. Москва, пер. Девятинский Б., д. 4;3;;26 к 7288,1к2462,26к7288,1к8332,1к8332 ,26к7288,1к0168
г. Москва, пер. Девятинский Б., д. 4;4;;63 к 0380
г. Москва, пер. Девятинский Б., д. 4;6;;1к8332,67 к 4709,67к4709
г. Москва, пер. Калошин, д. 6, стр. 1;1;;100к1964
г. Москва, пер. Карманицкий, д. 2/5;1;;47b0153,2460,250,2450
г. Москва, пер. Карманицкий, д. 2/5;2;;356/39,2460,356, 26,356
г. Москва, пер. Карманицкий, д. 3;1;;"07к4649,2к4406,#423,1,054,01к8981;01,03к6074, 3"
г. Москва, пер. Карманицкий, д. 3;2;;19р4541
г. Москва, пер. Карманицкий, д. 3;3;;059в,028 в,037,43 в,40,38
г. Москва, пер. Карманицкий, д. 3А, стр. 1;1;;#423
г. Москва, пер. Карманицкий, д. 3А, стр. 3;1;;63 в
г. Москва, пер. Карманицкий, д. 5;1;;20008
г. Москва, пер. Карманицкий, д. 5;2;;41#9034
г. Москва, пер. Крестовоздвиженский, д. 4;1;;8в2149
г. Москва, пер. Крестовоздвиженский, д. 4;4;;40в7925
г. Москва, пер. Кривоарбатский, д. 15, стр. 1;1;;10к1001
г. Москва, пер. Кривоарбатский, д. 3;1;;1570,1570/019,1570/009,1570/024,15705/024
г. Москва, пер. Мерзляковский, д. 10;1;;10к5791
г. Москва, пер. Николопесковский Б., д. 3;2;;47к6180
г. Москва, пер. Николопесковский Б., д. 5;1;;15к8249
г. Москва, пер. Николопесковский М., д. 11/2, к. 1;1;;#4423
г. Москва, пер. Николощеповский 1-й, д. 20/4;1;;6к2699
г. Москва, пер. Николощеповский 1-й, д. 20/4;2;;15к1166
г. Москва, пер. Николощеповский 1-й, д. 20/4;3;;25к4737,25к4737
г. Москва, пер. Панфиловский, д. 1/16, стр. 1;1;;10#653
г. Москва, пер. Панфиловский, д. 3;1;;8,100к1234,9,290,100к1234,290,22в 7049
г. Москва, пер. Панфиловский, д. 3;2;;350,350 ,20в7049,20.7049,350.
г. Москва, пер. Панфиловский, д. 3;3;;48в.,044,569
г. Москва, пер. Панфиловский, д. 5;1;;9в.,15к0026,16к7782,18к3599
г. Москва, пер. Панфиловский, д. 5;2;;47к6812,3в,126
г. Москва, пер. Панфиловский, д. 5;3;;с55, 469,469,469,469 
г. Москва, пер. Панфиловский, д. 6;1;;4к7840,7к7777,10к5807,6к4790
г. Москва, пер. Плотников, д. 13;1;;12в,4в
г. Москва, пер. Плотников, д. 3;1;;7к1961
г. Москва, пер. Проточный, д. 14/1, стр. 1;1;;2в1102
г. Москва, пер. Проточный, д. 4;1;;14 ,256,256-.,3к4605
г. Москва, пер. Прямой, д. 5, стр. 1;3;;2580
г. Москва, пер. Сивцев Вражек, д. 29/16;1;;7к9921,3 к 8888,9к0125
г. Москва, пер. Сивцев Вражек, д. 4;1;;4в5773
г. Москва, пер. Скатертный, д. 15;1;;0,3в 
г. Москва, пер. Скатертный, д. 15;2;;16к5670
г. Москва, пер. Скатертный, д. 17;1;;030к123,12,16
г. Москва, пер. Скатертный, д. 23;1;;1к2305
г. Москва, пер. Скатертный, д. 30, стр. 1;2;;14 в 3401
г. Москва, пер. Скатертный, д. 7;1;;6к2662
г. Москва, пер. Скатертный, д. 7;2;;27к5526
г. Москва, пер. Спасопесковский, д. 3/1, стр. 1;1;;45к4662
г. Москва, пер. Спасопесковский, д. 3/1, стр. 1;2;;49к1939,053,47
г. Москва, пер. Староваганьковский, д. 15;1;;в 52 в 3123,р9999р3845
г. Москва, пер. Староваганьковский, д. 15;2;;#9999#3845,9999#3845
г. Москва, пер. Староконюшенный, д. 19;2;;1901/19
г. Москва, пер. Староконюшенный, д. 19;3;;1903 в 
г. Москва, пер. Староконюшенный, д. 19;4;;51к 2019,51к2019,61к2730
г. Москва, пер. Староконюшенный, д. 19;5;;1212
г. Москва, пер. Староконюшенный, д. 33;1;;9876 в,1 в,9876в
г. Москва, пер. Староконюшенный, д. 41, стр. 3;1;;в29в5561
г. Москва, пер. Староконюшенный, д. 43;1;;13к9844,4к0552,3в ,8 ,03к3012
г. Москва, пер. Троилинский, д. 4/7;1;;8к8264,2008б,8к8264,13к4664,7к1834,2008в
г. Москва, пер. Троилинский, д. 4/7;3;;2008в 40в
г. Москва, пер. Троилинский, д. 4/7;4;;1к1947,58
г. Москва, пер. Трубниковский, д. 11;1;;#423,6в,11,14,03,100,12,14в
г. Москва, пер. Трубниковский, д. 24, стр. 2;2;;48в9227,47к,43в6795
г. Москва, пер. Трубниковский, д. 26, стр. 1;2;;57\169
г. Москва, пер. Трубниковский, д. 30, стр. 3;1;;8к9027,23к3402,30к5128,30
г. Москва, пер. Трубниковский, д. 30, стр. 3;2;;35к2459,1к5987,9к5732,26к2626,37к7465,90,25,31к9091
г. Москва, пер. Филипповский, д. 16;1;;,10к0224
г. Москва, пер. Филипповский, д. 18;1;;10к8402
г. Москва, пер. Филипповский, д. 18;2;;26 к 5002
г. Москва, пер. Филипповский, д. 7;2;;9в,9в
г. Москва, пер. Филипповский, д. 8, стр. 1;1;;27 к 
г. Москва, пер. Хлебный, д. 10;1;;17в,8486
г. Москва, пер. Хлебный, д. 10;2;;25к8127,8486
г. Москва, пл. Смоленская-Сенная, д. 23/25;1;;45к2310,3753
г. Москва, пл. Смоленская-Сенная, д. 23/25;2;;65к4991,88к7116,86к6471,84к8550,85к9072,84к0330,67.0633,84. 0330,90к6652,75к4620,76к7852,79к7395,81к0143,89к7572,64к7090
г. Москва, пл. Смоленская-Сенная, д. 23/25;3;;102к3157,108к0821,109к1636,111к1225,112к5351,44,58к1674,90к3241,93-,98к2761,99к 
г. Москва, пл. Смоленская-Сенная, д. 23/25;4;;138 в,136в
г. Москва, пл. Смоленская-Сенная, д. 23/25;5;;142к175,156к926
г. Москва, пл. Смоленская-Сенная, д. 23/25;6;;166к1768
г. Москва, пл. Смоленская-Сенная, д. 27, стр. 1;1;;12к1972,10к9836,9к5585,56к1096,3к1860,055,46к1394,32в
г. Москва, пл. Смоленская-Сенная, д. 27, стр. 1;2;;0905,905,590,509,950,590,095 ,905 ,45к0014
г. Москва, пл. Смоленская-Сенная, д. 27, стр. 1;3;;40к2132,138
г. Москва, пл. Смоленская, д. 13/21;1;;100к5555,170к5930,100к5555
