Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;1;;1к-9902,1к9902 ,1к9902,1к9902,66к4832,1,1.9902
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;2;;370,32в1002,35в9648,730,26к4370,9999в7734,370,с21в2814,23в7304,21в2814,26к5794
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;3;;35к7789,26к5794,45к1255
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;4;;49 ,26к5794
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;5;;123 61,123 55,54к5970,123 60,57к2387,56к4182,123, 59,123 и 57
г. Москва, пер. Ананьевский, д. 4/2, стр. 1;6;;697.,679 ,65к5085,679
г. Москва, пер. Ананьевский, д. 4/2, стр. 2;1;;1к9902,117 
г. Москва, пер. Ананьевский, д. 4/2, стр. 2;2;;23в7304
г. Москва, пер. Ананьевский, д. 5, стр. 12;2;;1к3221
г. Москва, пер. Ананьевский, д. 5, стр. 4;1;;23в.,12в.
г. Москва, пер. Ананьевский, д. 5, стр. 4;2;;4309
г. Москва, пер. Ананьевский, д. 5, стр. 6;1;;105в.
г. Москва, пер. Ананьевский, д. 5, стр. 6;3;;102в.
г. Москва, пер. Ананьевский, д. 5, стр. 7;1;;101к2003
г. Москва, пер. Ананьевский, д. 5, стр. 7;2;;6323,101к2003,27,126в.
г. Москва, пер. Ананьевский, д. 5, стр. 9;1;;135к4434
г. Москва, пер. Ананьевский, д. 5, стр. 9;2;;137в.
г. Москва, пер. Балканский Б., д. 13, к. 3;1;;4664
г. Москва, пер. Балканский Б., д. 13, к. 3;3;;126в
г. Москва, пер. Балканский Б., д. 13/47, к. 5;1;;2 191057#,1к1923
г. Москва, пер. Балканский Б., д. 5;1;;149,149 / 11,149/10в,149 4,03в 149к,в03 ___149,149 1в
г. Москва, пер. Басманный 1-й, д. 5/20, стр. 2;4;;118в3399,118 в 3399
г. Москва, пер. Басманный 1-й, д. 5/20, стр. 3;1;;33к5350
г. Москва, пер. Басманный, д. 9;1;;29к2556,29к2556,31к4453,13к6409
г. Москва, пер. Грохольский, д. 10/5;1;;1,13в,13в
г. Москва, пер. Грохольский, д. 10/5;2;;75в,43
г. Москва, пер. Грохольский, д. 10/5;3;;с88в,75в,75в
г. Москва, пер. Грохольский, д. 10/5;4;;122к 2107
г. Москва, пер. Грохольский, д. 30, к. 2;1;;8547,13к3333,57,2,45.,05
г. Москва, пер. Грохольский, д. 8/3, стр. 1;1;;110в,с10в,13в.
г. Москва, пер. Грохольский, д. 8/3, стр. 1;4;;110в,113 в
