Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, ул. Ангарская, д. 1;1;;к15к8462,к63к5253,к30к3832,к3к8295,к29к6534,к56к3231,к34к9635,к74к9842,к69к5109,в42в1765,39к2696,794368,к35к1475,к85к5484,к24к6795,1,к26к8436,к13к3487
г. Москва, ул. Ангарская, д. 1, к. 2;1;;к10к2670,к16к1046,к30к7814,л21к6597,к69к3759,23к43к72,к44к5274,к64к2876,к29к5452,к69к2193,к28к5892,к27к7150,к26к1890,к77к2734,к55к8263,к35к6272,*6*5143,к78к2961,38к7034
г. Москва, ул. Ангарская, д. 1, стр. 3;1;;в75в2745,в74в1751,к8к5451,в85в4257,в58в3630,17к,в68в8650,в36в1686,688650,в22в3212,в70в0420,к 70 к 0420,к19к0782,в19в0782,к38к6469,в67в2621,в 18 в 7262,в3в6073,в29в7616,в8в5451
г. Москва, ул. Ангарская, д. 10;1;;10к5616,1*,1
г. Москва, ул. Ангарская, д. 10;2;;51к 5656,8746,31 7531,51к5656,63к5108,46к1715,34к6321,28к1518,49к7591,58к5575,38к8228,66к1068,47к8136,27к9832,585575,30к7585,59к9611,35к8746,27к9832,*51к5656
г. Москва, ул. Ангарская, д. 10;3;;92к5700,89к1089,80к3766
г. Москва, ул. Ангарская, д. 10;4;;в9491,в2069,135 в,в8755,117в,в1058,в0385,к 0003,в5634,в6960,в3939,в0003,в8850,116в
г. Москва, ул. Ангарская, д. 16;3;;149в,в138в7457,в188в2737
г. Москва, ул. Ангарская, д. 18;1;;к30к826159,к15к831573,к14к430348,к56к2425,к2к396939,к24к425257,к25к138594,к9к,к43к254339
г. Москва, ул. Ангарская, д. 18;2;;к82к623879,к64к430348,к91к967914,*62*528769,к83к594123,к95к650352,101к674538,к65к831573
г. Москва, ул. Ангарская, д. 2, к. 2;1;;689(.),689 ,689
г. Москва, ул. Ангарская, д. 2, к. 2;2;;,84,48
г. Москва, ул. Ангарская, д. 2, к. 2;3;;123,123
г. Москва, ул. Ангарская, д. 20, к. 1;1;;91в,41в
г. Москва, ул. Ангарская, д. 20, к. 1;2;;к110к8574,к22к376317,к66к6162
г. Москва, ул. Ангарская, д. 20, к. 3;1;;к33к0319,к34к3004,к6к0909,к99к1139
г. Москва, ул. Ангарская, д. 20, к. 3;2;;в54в4828,к59к1218/38,к59к1218,в 54 в 4828,в66в3875,к54к4828,к75к1976/38,59в1218,в59в1218,в48в7727
г. Москва, ул. Ангарская, д. 20, к. 3;3;;112к4044,91к3516,107к1228,113к3788,108к3020,к90к2576,98к9436,1184556,в56в6942,852990,к112к1230
г. Москва, ул. Ангарская, д. 21;1;;9к5701
г. Москва, ул. Ангарская, д. 21;2;;30к2356,к28к2699,19 к 5812
г. Москва, ул. Ангарская, д. 21;3;;46к8078,35к9437,48к9585,43к4806
г. Москва, ул. Ангарская, д. 21;4;;63к1188,55к5269,57к2454,68к0778
г. Москва, ул. Ангарская, д. 21;5;;92к0237,89к4903,78к5700,098к0433
г. Москва, ул. Ангарская, д. 21;6;;105к1835
г. Москва, ул. Ангарская, д. 22, к. 1;1;;54в,32 ,36в,52в,17в,25 в,11в,5 в,7в,16в,1в
г. Москва, ул. Ангарская, д. 22, к. 1;2;;72 в.,1,1 (),1 
