Адрес дома;Номер подъезда;Код домофона 1;Код домофона 2
г. Москва, пр-кт. Ленинский, д. 102;1;127к6592;127к6592,132к7853,80к6340,38к1858,2 к 3692,89в,55к6665,171к6855,16к5632,69к8798,174к5815,127к 6592,88к9923,99к7235,178к2420,100к6650,61к9594,82к1668,69к8798,155к1115,в41в2580,74к2625,82к 1668,48к2551,39к5501
г. Москва, пр-кт. Ленинский, д. 105, к. 1;1;;200,57в
г. Москва, пр-кт. Ленинский, д. 105, к. 3;1;;130к,112к ,6947,53
г. Москва, пр-кт. Ленинский, д. 105, к. 4;2;200к7273/ вахта;38,'',160к
г. Москва, пр-кт. Ленинский, д. 105, к. 4;3;;92к,82к,77 к ,75к,121к,92в,94к,83к,130к
г. Москва, пр-кт. Ленинский, д. 105, к. 4;4;;226к,161к,282,280к,208к,280к
г. Москва, пр-кт. Ленинский, д. 107, к. 3;3;255к1129/ вахта;255к1129
г. Москва, пр-кт. Ленинский, д. 107, к. 3;4;;356400
г. Москва, пр-кт. Ленинский, д. 110, к. 1;1;;1,107к5516,200к5564,116к4246,90 ,84к6725,76к9035,67к9393,61к6892,31к6300,157в.,154к7418,190к7474,120к7647,61к6892
г. Москва, пр-кт. Ленинский, д. 110, к. 4;1;;570,570,750 ,570-
г. Москва, пр-кт. Ленинский, д. 110, к. 4;2;;568 ,568,568
г. Москва, пр-кт. Ленинский, д. 110, к. 4;4;;369,568,389
г. Москва, пр-кт. Ленинский, д. 119, к. 1;1;;90в,57к7504,94,94к7849,162,31к8847
г. Москва, пр-кт. Ленинский, д. 12;1;;115,77
г. Москва, пр-кт. Ленинский, д. 121/1, к. 1;1;;096,з126з5581,1,040,008,к4к7460,40,002,16в,001,107в0383,.115,000,46
г. Москва, пр-кт. Ленинский, д. 122;1;33к3427;78к9758
г. Москва, пр-кт. Ленинский, д. 123, к. 1;1;48к5118;34к34к8202,28к9070,63к9627,3к4267,49к8942,23к8787,9к3115,17к1104,46к2926,22к2784,53к9720,24к9717,32к7419,27к4486,58#3529,43к3950,8к2140,62к6420
г. Москва, пр-кт. Ленинский, д. 123, к. 1;2;86к3596;75к7575,'',86к3596,75 7575,75#7575
г. Москва, пр-кт. Ленинский, д. 123, к. 1;3;175к8471;151к7699,190к9846,180к4988,175к8471,175к8471,151к7699
г. Москва, пр-кт. Ленинский, д. 123, к. 1;4;220к1560;196к2466,220к1560,229к2252
г. Москва, пр-кт. Ленинский, д. 123, к. 1;5;283к2029;269к5235,307к0633,270к1575,290к3170,271к1845,592к6463,305к2192,275 в,9508,309к0093,276к1395,303к0016,400к1234,280к6113,266к1225,-257к0342
г. Москва, пр-кт. Ленинский, д. 123, к. 1;6;351к5146;334к0817,348к5714,351к5146,366 4952,351 к 5146,355в
г. Москва, пр-кт. Ленинский, д. 123, к. 1;7;423к8115;441к4306,423к8115,383 к 4541,446к6824,383к4541,423в8115,398к7173
